country_type,country_museum,n,total_country_type
ABW,VUT,0,1
ABW,WSM,0,1
ABW,YEM,0,1
ABW,ZAF,0,1
ABW,ZMB,0,1
ABW,ZWE,0,1
AFG,ABW,0,20
AFG,AFG,0,20
AFG,AGO,0,20
AFG,AIA,0,20
AFG,ALA,0,20
AFG,ALB,0,20
AFG,AND,0,20
AFG,ARE,0,20
AFG,ARG,0,20
AFG,ARM,0,20
AFG,ASM,0,20
AFG,ATG,0,20
AFG,AUS,0,20
AFG,AUT,1,20
AFG,AZE,0,20
AFG,BDI,0,20
AFG,BEL,0,20
AFG,BEN,0,20
AFG,BES,0,20
AFG,BFA,0,20
AFG,BGD,0,20
AFG,BGR,0,20
AFG,BHR,0,20
AFG,BHS,0,20
AFG,BIH,0,20
AFG,BLM,0,20
AFG,BLR,0,20
AFG,BLZ,0,20
AFG,BMU,0,20
AFG,BOL,0,20
AFG,BRA,0,20
AFG,BRB,0,20
AFG,BRN,0,20
AFG,BTN,0,20
AFG,BWA,0,20
AFG,CAF,0,20
AFG,CAN,0,20
AFG,CCK,0,20
AFG,CHE,0,20
AFG,CHL,0,20
AFG,CHN,1,20
AFG,CIV,0,20
AFG,CMR,0,20
AFG,COD,0,20
AFG,COG,0,20
AFG,COK,0,20
AFG,COL,0,20
AFG,COM,0,20
AFG,CPV,0,20
AFG,CRI,0,20
AFG,CUB,0,20
AFG,CUW,0,20
AFG,CXR,0,20
AFG,CYM,0,20
AFG,CYP,0,20
AFG,CZE,0,20
AFG,DEU,2,20
AFG,DJI,0,20
AFG,DMA,0,20
AFG,DNK,2,20
AFG,DOM,0,20
AFG,DZA,0,20
AFG,ECU,0,20
AFG,EGY,0,20
AFG,ERI,0,20
AFG,ESP,0,20
AFG,EST,0,20
AFG,ETH,0,20
AFG,FIN,0,20
AFG,FJI,0,20
AFG,FLK,0,20
AFG,FRA,0,20
AFG,FRO,0,20
AFG,FSM,0,20
AFG,GAB,0,20
AFG,GBR,8,20
AFG,GEO,0,20
AFG,GGY,0,20
AFG,GHA,0,20
AFG,GIB,0,20
AFG,GIN,0,20
AFG,GLP,0,20
AFG,GMB,0,20
AFG,GNB,0,20
AFG,GNQ,0,20
AFG,GRC,0,20
AFG,GRD,0,20
AFG,GRL,0,20
AFG,GTM,0,20
AFG,GUF,0,20
AFG,GUM,0,20
AFG,GUY,0,20
AFG,HKG,0,20
AFG,HMD,0,20
AFG,HND,0,20
AFG,HRV,0,20
AFG,HTI,0,20
AFG,HUN,0,20
AFG,IDN,0,20
AFG,IMN,0,20
AFG,IND,3,20
AFG,IRL,0,20
AFG,IRN,0,20
AFG,IRQ,0,20
AFG,ISL,0,20
AFG,ISR,1,20
AFG,ITA,0,20
AFG,JAM,0,20
AFG,JEY,0,20
AFG,JOR,0,20
AFG,JPN,0,20
AFG,KAZ,0,20
AFG,KEN,0,20
AFG,KGZ,0,20
AFG,KHM,0,20
AFG,KIR,0,20
AFG,KNA,0,20
AFG,KOR,0,20
AFG,KWT,0,20
AFG,LAO,0,20
AFG,LBN,0,20
AFG,LBR,0,20
AFG,LBY,0,20
AFG,LCA,0,20
AFG,LIE,0,20
AFG,LKA,0,20
AFG,LSO,0,20
AFG,LTU,0,20
AFG,LUX,0,20
AFG,LVA,0,20
AFG,MAC,0,20
AFG,MAF,0,20
AFG,MAR,0,20
AFG,MCO,0,20
AFG,MDA,0,20
AFG,MDG,0,20
AFG,MDV,0,20
AFG,MEX,0,20
AFG,MHL,0,20
AFG,MKD,0,20
AFG,MLI,0,20
AFG,MLT,0,20
AFG,MMR,0,20
AFG,MNE,0,20
AFG,MNG,0,20
AFG,MNP,0,20
AFG,MOZ,0,20
AFG,MRT,0,20
AFG,MSR,0,20
AFG,MTQ,0,20
AFG,MUS,0,20
AFG,MWI,0,20
AFG,MYS,0,20
AFG,NAM,0,20
AFG,NCL,0,20
AFG,NER,0,20
AFG,NFK,0,20
AFG,NGA,0,20
AFG,NIC,0,20
AFG,NIU,0,20
AFG,NLD,0,20
AFG,NOR,0,20
AFG,NPL,0,20
AFG,NRU,0,20
AFG,NZL,0,20
AFG,OMN,0,20
AFG,PAK,0,20
AFG,PAN,0,20
AFG,PCN,0,20
AFG,PER,0,20
AFG,PHL,0,20
AFG,PLW,0,20
AFG,PNG,0,20
AFG,POL,0,20
AFG,PRI,0,20
AFG,PRK,0,20
AFG,PRT,0,20
AFG,PRY,0,20
AFG,PSE,0,20
AFG,PYF,0,20
AFG,QAT,0,20
AFG,ROU,0,20
AFG,RUS,0,20
AFG,RWA,0,20
AFG,SAU,0,20
AFG,SDN,0,20
AFG,SEN,0,20
AFG,SGP,0,20
AFG,SGS,0,20
AFG,SLB,0,20
AFG,SLE,0,20
AFG,SLV,0,20
AFG,SMR,0,20
AFG,SOM,0,20
AFG,SPM,0,20
AFG,SRB,0,20
AFG,SSD,0,20
AFG,STP,0,20
AFG,SUR,0,20
AFG,SVK,2,20
AFG,SVN,0,20
AFG,SWE,0,20
AFG,SWZ,0,20
AFG,SXM,0,20
AFG,SYC,0,20
AFG,SYR,0,20
AFG,TCA,0,20
AFG,TCD,0,20
AFG,TGO,0,20
AFG,THA,0,20
AFG,TJK,0,20
AFG,TKL,0,20
AFG,TKM,0,20
AFG,TLS,0,20
AFG,TON,0,20
AFG,TTO,0,20
AFG,TUN,0,20
AFG,TUR,0,20
AFG,TUV,0,20
AFG,TWN,0,20
AFG,TZA,0,20
AFG,UGA,0,20
AFG,UKR,0,20
AFG,URY,0,20
AFG,USA,0,20
AFG,UZB,0,20
AFG,VAT,0,20
AFG,VCT,0,20
AFG,VEN,0,20
AFG,VGB,0,20
AFG,VIR,0,20
AFG,VNM,0,20
AFG,VUT,0,20
AFG,WSM,0,20
AFG,YEM,0,20
AFG,ZAF,0,20
AFG,ZMB,0,20
AFG,ZWE,0,20
AGO,ABW,0,148
AGO,AFG,0,148
AGO,AGO,21,148
AGO,AIA,0,148
AGO,ALA,0,148
AGO,ALB,0,148
AGO,AND,0,148
AGO,ARE,0,148
AGO,ARG,0,148
AGO,ARM,0,148
AGO,ASM,0,148
AGO,ATG,0,148
AGO,AUS,0,148
AGO,AUT,9,148
AGO,AZE,0,148
AGO,BDI,0,148
AGO,BEL,14,148
AGO,BEN,0,148
AGO,BES,0,148
AGO,BFA,0,148
AGO,BGD,0,148
AGO,BGR,0,148
AGO,BHR,0,148
AGO,BHS,0,148
AGO,BIH,0,148
AGO,BLM,0,148
AGO,BLR,0,148
AGO,BLZ,0,148
AGO,BMU,0,148
AGO,BOL,0,148
AGO,BRA,0,148
AGO,BRB,0,148
AGO,BRN,0,148
AGO,BTN,0,148
AGO,BWA,0,148
AGO,CAF,0,148
AGO,CAN,0,148
AGO,CCK,0,148
AGO,CHE,2,148
AGO,CHL,0,148
AGO,CHN,0,148
AGO,CIV,0,148
AGO,CMR,0,148
AGO,COD,0,148
AGO,COG,0,148
AGO,COK,0,148
AGO,COL,0,148
AGO,COM,0,148
AGO,CPV,0,148
AGO,CRI,0,148
AGO,CUB,0,148
AGO,CUW,0,148
AGO,CXR,0,148
AGO,CYM,0,148
AGO,CYP,0,148
AGO,CZE,0,148
AGO,DEU,6,148
AGO,DJI,0,148
AGO,DMA,0,148
AGO,DNK,0,148
AGO,DOM,0,148
AGO,DZA,0,148
AGO,ECU,0,148
AGO,EGY,0,148
AGO,ERI,0,148
AGO,ESP,0,148
AGO,EST,0,148
AGO,ETH,0,148
AGO,FIN,0,148
AGO,FJI,0,148
AGO,FLK,0,148
AGO,FRA,6,148
AGO,FRO,0,148
AGO,FSM,0,148
AGO,GAB,0,148
AGO,GBR,55,148
AGO,GEO,0,148
AGO,GGY,0,148
AGO,GHA,0,148
AGO,GIB,0,148
AGO,GIN,0,148
AGO,GLP,0,148
AGO,GMB,0,148
AGO,GNB,0,148
AGO,GNQ,0,148
AGO,GRC,0,148
AGO,GRD,0,148
AGO,GRL,0,148
AGO,GTM,0,148
AGO,GUF,0,148
AGO,GUM,0,148
AGO,GUY,0,148
AGO,HKG,0,148
AGO,HMD,0,148
AGO,HND,0,148
AGO,HRV,0,148
AGO,HTI,0,148
AGO,HUN,0,148
AGO,IDN,0,148
AGO,IMN,0,148
AGO,IND,0,148
AGO,IRL,0,148
AGO,IRN,0,148
AGO,IRQ,0,148
AGO,ISL,0,148
AGO,ISR,0,148
AGO,ITA,0,148
AGO,JAM,0,148
AGO,JEY,0,148
AGO,JOR,0,148
AGO,JPN,0,148
AGO,KAZ,0,148
AGO,KEN,0,148
AGO,KGZ,0,148
AGO,KHM,0,148
AGO,KIR,0,148
AGO,KNA,0,148
AGO,KOR,0,148
AGO,KWT,0,148
AGO,LAO,0,148
AGO,LBN,0,148
AGO,LBR,0,148
AGO,LBY,0,148
AGO,LCA,0,148
AGO,LIE,0,148
AGO,LKA,0,148
AGO,LSO,0,148
AGO,LTU,0,148
AGO,LUX,0,148
AGO,LVA,0,148
AGO,MAC,0,148
AGO,MAF,0,148
AGO,MAR,0,148
AGO,MCO,0,148
AGO,MDA,0,148
AGO,MDG,0,148
AGO,MDV,0,148
AGO,MEX,0,148
AGO,MHL,0,148
AGO,MKD,0,148
AGO,MLI,0,148
AGO,MLT,0,148
AGO,MMR,0,148
AGO,MNE,0,148
AGO,MNG,0,148
AGO,MNP,0,148
AGO,MOZ,0,148
AGO,MRT,0,148
AGO,MSR,0,148
AGO,MTQ,0,148
AGO,MUS,0,148
AGO,MWI,0,148
AGO,MYS,0,148
AGO,NAM,0,148
AGO,NCL,0,148
AGO,NER,0,148
AGO,NFK,0,148
AGO,NGA,0,148
AGO,NIC,0,148
AGO,NIU,0,148
AGO,NLD,1,148
AGO,NOR,0,148
AGO,NPL,0,148
AGO,NRU,0,148
AGO,NZL,0,148
AGO,OMN,0,148
AGO,PAK,0,148
AGO,PAN,0,148
AGO,PCN,0,148
AGO,PER,0,148
AGO,PHL,0,148
AGO,PLW,0,148
AGO,PNG,0,148
AGO,POL,0,148
AGO,PRI,0,148
AGO,PRK,0,148
AGO,PRT,2,148
AGO,PRY,0,148
AGO,PSE,0,148
AGO,PYF,0,148
AGO,QAT,0,148
AGO,ROU,0,148
AGO,RUS,0,148
AGO,RWA,0,148
AGO,SAU,0,148
AGO,SDN,0,148
AGO,SEN,0,148
AGO,SGP,0,148
AGO,SGS,0,148
AGO,SLB,0,148
AGO,SLE,0,148
AGO,SLV,0,148
AGO,SMR,0,148
AGO,SOM,0,148
AGO,SPM,0,148
AGO,SRB,0,148
AGO,SSD,0,148
AGO,STP,0,148
AGO,SUR,0,148
AGO,SVK,0,148
AGO,SVN,0,148
AGO,SWE,1,148
AGO,SWZ,0,148
AGO,SXM,0,148
AGO,SYC,0,148
AGO,SYR,0,148
AGO,TCA,0,148
AGO,TCD,0,148
AGO,TGO,0,148
AGO,THA,0,148
AGO,TJK,0,148
AGO,TKL,0,148
AGO,TKM,0,148
AGO,TLS,0,148
AGO,TON,0,148
AGO,TTO,0,148
AGO,TUN,0,148
AGO,TUR,0,148
AGO,TUV,0,148
AGO,TWN,0,148
AGO,TZA,0,148
AGO,UGA,0,148
AGO,UKR,0,148
AGO,URY,0,148
AGO,USA,22,148
AGO,UZB,0,148
AGO,VAT,0,148
AGO,VCT,0,148
AGO,VEN,0,148
AGO,VGB,0,148
AGO,VIR,0,148
AGO,VNM,0,148
AGO,VUT,0,148
AGO,WSM,0,148
AGO,YEM,0,148
AGO,ZAF,9,148
AGO,ZMB,0,148
AGO,ZWE,0,148
AIA,ABW,0,0
AIA,AFG,0,0
AIA,AGO,0,0
AIA,AIA,0,0
AIA,ALA,0,0
AIA,ALB,0,0
AIA,AND,0,0
AIA,ARE,0,0
AIA,ARG,0,0
AIA,ARM,0,0
AIA,ASM,0,0
AIA,ATG,0,0
AIA,AUS,0,0
AIA,AUT,0,0
