country,domestic_type_retained,total_country_type,total_country_museum,total_type_world,prop_DC,prop_DR,prop_WC
NCL,0,4,0,20246,0,0,0
NGA,0,81,0,20246,0,0,0
NIC,0,49,0,20246,0,0,0
NLD,0,2,572,20246,0,0,0.02825249431986565
NOR,0,1,7,20246,0,0,3.45747308110244e-4
NPL,3,22,3,20246,1,0.13636363636363635,1.4817741776153315e-4
NZL,21,24,22,20246,0.9545454545454546,0.875,0.0010866343969179097
OMN,1,10,1,20246,1,0.1,4.9392472587177715e-5
PAK,16,44,16,20246,1,0.36363636363636365,7.902795613948434e-4
PAN,1,126,2,20246,0.5,0.007936507936507936,9.878494517435543e-5
PER,111,583,113,20246,0.9823008849557522,0.19039451114922812,0.0055813494023510815
PHL,34,94,35,20246,0.9714285714285714,0.3617021276595745,0.00172873654055122
PNG,0,168,0,20246,0,0,0
POL,1,4,2,20246,0.5,0.25,9.878494517435543e-5
PRI,0,2,0,20246,0,0,0
PRK,1,11,2,20246,0.5,0.09090909090909091,9.878494517435543e-5
PRT,4,13,7,20246,0.5714285714285714,0.3076923076923077,3.45747308110244e-4
PRY,8,114,8,20246,1,0.07017543859649122,3.951397806974217e-4
PSE,1,2,1,20246,1,0.5,4.9392472587177715e-5
ROU,9,14,34,20246,0.2647058823529412,0.6428571428571429,0.0016793440679640423
RUS,138,191,386,20246,0.35751295336787564,0.7225130890052356,0.0190654944186506
RWA,0,29,0,20246,0,0,0
SAU,0,6,0,20246,0,0,0
SDN,0,54,0,20246,0,0,0
SEN,0,48,1,20246,0,0,4.9392472587177715e-5
SGP,3,12,263,20246,0.011406844106463879,0.25,0.01299022029042774
SLB,0,2,0,20246,0,0,0
SLE,0,53,0,20246,0,0,0
SLV,0,9,0,20246,0,0,0
SOM,0,20,0,20246,0,0,0
SRB,0,1,2,20246,0,0,9.878494517435543e-5
SSD,0,2,0,20246,0,0,0
SUR,0,202,0,20246,0,0,0
SVK,1,5,7,20246,0.14285714285714285,0.2,3.45747308110244e-4
SVN,1,3,2,20246,0.5,0.3333333333333333,9.878494517435543e-5
SWE,5,10,200,20246,0.025,0.5,0.009878494517435542
SYC,0,2,0,20246,0,0,0
SYR,0,46,0,20246,0,0,0
TCD,0,35,0,20246,0,0,0
TGO,0,6,0,20246,0,0,0
THA,58,438,63,20246,0.9206349206349206,0.1324200913242009,0.003111725772992196
TJK,0,8,0,20246,0,0,0
TKM,0,6,0,20246,0,0,0
TLS,0,1,0,20246,0,0,0
TTO,0,29,0,20246,0,0,0
TUN,0,3,0,20246,0,0,0
TUR,142,239,143,20246,0.993006993006993,0.5941422594142259,0.007063123579966413
TWN,10,62,12,20246,0.8333333333333334,0.16129032258064516,5.927096710461326e-4
TZA,0,578,0,20246,0,0,0
UGA,0,204,0,20246,0,0,0
UKR,0,34,0,20246,0,0,0
URY,41,68,43,20246,0.9534883720930233,0.6029411764705882,0.0021238763212486416
USA,1229,1347,4976,20246,0.24698553054662378,0.9123979213066072,0.24577694359379632
UZB,0,23,0,20246,0,0,0
VCT,0,1,0,20246,0,0,0
VEN,255,529,258,20246,0.9883720930232558,0.4820415879017013,0.01274325792749185
VNM,79,231,80,20246,0.9875,0.341991341991342,0.003951397806974217
VUT,0,1,0,20246,0,0,0
WSM,0,2,0,20246,0,0,0
YEM,0,13,0,20246,0,0,0
ZAF,79,143,186,20246,0.42473118279569894,0.5524475524475524,0.009186999901215055
ZMB,0,66,0,20246,0,0,0
ZWE,2,24,4,20246,0.5,0.08333333333333333,1.9756989034871086e-4
