countries,native.beta,type.beta,native.success,native.fail,type.success,type.fail
UGA,1,0,246,0,0,0
UKR,1,0,6,0,0,0
ARE,1,0,1,0,0,0
GBR,0.2222222222222222,0.9973703981968445,2,7,2655,7
USA,0.058355437665782495,0.857286432160804,44,710,4265,710
URY,0.8853046594982079,0.2558139534883721,247,32,11,32
UZB,1,0,18,0,0,0
VUT,1,0,4,0,0,0
VEN,0.7327293318233296,0.08527131782945736,647,236,22,236
VNM,0.8630952380952381,0.4177215189873418,290,46,33,46
VGB,1,0,1,0,0,0
VIR,1,0,50,0,0,0
YEM,1,0,4,0,0,0
ZMB,1,0,309,0,0,0
ZWE,1,1,6,0,4,0
