country,domestic_type_retained,total_country_type,total_country_museum,total_type_world,prop_DC,prop_DR,prop_WC,region,native_richness,records,records_per_area,yearsSinceIndependence,e_migdppc,n.museums,native.beta,type.beta,native.success,native.fail,type.success,type.fail,type.richness.pad,years.independence,native.richness.pad,records.per.area.pad,years.independence.pad,years.independence.fac,gdp.pad,n.museums.pad,colonization,type.beta.model,native.beta.model,prop_DC.pad,prop_DR.pad,success.DC,failures.DC,success.DR,failures.DR
CHN,806,1330,820,20246,0.9829268292682927,0.606015037593985,0.04050182752148573,East Asia & Pacific,1197,2556017,0.272653708305781,undefined,2509,99,0.27765726681127983,0.01186943620178041,256,666,8,666,820,0,2.3587479951416084,-0.3680492707477544,-0.8494654140703279,0,-0.6699766859513661,4.64462876424031,0,0.0160774583034892,0.2795740145111826,0.9787636669470142,0.6051011148561058,806,14,806,524
CIV,0,53,0,20246,0,0,0,Sub-Saharan Africa,41,269345,0.8399261562257349,63,2608,1,1,0,16,0,0,0,0,63,-0.3655926320408372,-0.35803506418521985,0.23393654858690713,1,-0.6576253587372882,-0.4084997448882041,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,53
CMR,0,301,0,20246,0,0,0,Sub-Saharan Africa,260,396358,0.8536329549296927,63,2229,0,1,0,150,0,0,0,0,63,0.15052380165549112,-0.3577930945390017,0.23393654858690713,1,-0.7049097326174447,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,301
COD,0,634,0,20246,0,0,0,Sub-Saharan Africa,750,273085,0.11744379074848188,63,1530,0,1,0,325,0,0,0,0,63,1.3053048633504725,-0.37078923137984926,0.23393654858690713,1,-0.792117588401691,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,634
COG,0,273,0,20246,0,0,0,Sub-Saharan Africa,286,53931,0.15637205013787048,63,2409,2,1,0,185,0,0,0,0,63,0.2117978988066534,-0.3701020207951034,0.23393654858690713,1,-0.6824527740463942,-0.3569372090807703,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,273
COL,220,595,228,20246,0.9649122807017544,0.3697478991596639,0.01126148374987652,Latin America & Caribbean,1488,5175280,4.559244060969872,204,6621,31,0.527363184079602,0.03061224489795918,212,190,6,190,228,204,3.04454654402577,-0.2923769877064263,2.6586933221530997,1,-0.1569599434838111,1.1383763293348104,1,0.03465869106263194,0.5271272945616744,0.9609044162129462,0.3708707620979427,220,8,220,375
CRI,3,77,3,20246,1,0.03896103896103896,1.4817741776153315e-4,Latin America & Caribbean,100,8963809,175.2660918191772,undefined,7945,1,1,0,20,0,0,0,3,0,-0.22654756542858437,2.7211549427761903,-0.8494654140703279,0,0.008223462894360767,-0.4084997448882041,0,0.004310344827586207,0.9956896551724138,0.9956896551724138,0.04293551276309897,3,0,3,74
DEU,16,31,1101,20246,0.014532243415077202,0.5161290322580645,0.054381112318482666,Europe & Central Asia,11,24829862,69.42037162332178,undefined,24887,38,0.2,0.9908466819221968,1,4,433,4,1101,0,-0.4362935133691014,0.8526331950901579,-0.8494654140703279,0,2.1219223079540193,1.499314079986847,0,0.9866152450090744,0.2025862068965517,0.018717310282188603,0.5159899888765295,16,1085,16,15
DOM,0,11,0,20246,0,0,0,Latin America & Caribbean,12,310570,6.411436829066886,undefined,5093,1,1,0,5,0,0,0,0,0,-0.43393681732482586,-0.25967975194014176,-0.8494654140703279,0,-0.3475945695758403,-0.4084997448882041,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,11
ECU,19,198,20,20246,0.95,0.09595959595959595,9.878494517435543e-4,Latin America & Caribbean,676,3127389,12.263597292697655,undefined,5025,4,0.8157894736842105,0,62,14,0,0,20,0,1.1309093560740875,-0.1563700566873842,-0.8494654140703279,0,-0.3560783094804594,-0.25381213746590264,0,0.004310344827586207,0.8130671506352086,0.9461206896551724,0.09944270289097874,19,1,19,179
EGY,0,69,0,20246,0,0,0,Middle East & North Africa,8,171677,0.1714919601749712,101,4418,2,1,0,4,0,0,0,0,101,-0.4433636015019278,-0.3698351051307279,0.8874170974912711,1,-0.43180816421727986,-0.3569372090807703,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,69
ESP,14,30,36,20246,0.3888888888888889,0.4666666666666667,0.0017781290131383977,Europe & Central Asia,34,19913217,39.28555054016304,undefined,14597,15,0.3333333333333333,0.6428571428571429,5,10,18,10,36,0,-0.3820895043507655,0.32065544055913886,-0.8494654140703279,0,0.8381328429756291,0.3133757564158693,0,0.6416256157635468,0.3347701149425287,0.38984674329501917,0.46695402298850575,14,22,14,16
ETH,0,92,0,20246,0,0,0,Sub-Saharan Africa,50,341900,0.3032706035963157,undefined,979,0,1,0,42,0,0,0,0,0,-0.34438236764235797,-0.3675087828131347,-0.8494654140703279,0,-0.8608608338052958,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,92
FRA,26,33,1485,20246,0.017508417508417508,0.7878787878787878,0.07334782179195891,Europe & Central Asia,25,65473961,102.82377006057236,undefined,23348,17,0.15384615384615383,0.9721518987341772,2,11,384,11,1485,0,-0.4032997687492448,1.4423119871200345,-0.8494654140703279,0,1.9299153121715371,0.4165008280307369,0,0.9680816237450894,0.15683023872679042,0.02166782770231046,0.7853970741901777,26,1459,26,7
GAB,0,186,0,20246,0,0,0,Sub-Saharan Africa,241,328832,1.264894140817331,63,10415,1,1,0,90,0,0,0,0,63,0.10574657681425716,-0.3505329949488788,0.23393654858690713,1,0.3163828388415545,-0.4084997448882041,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,186
GBR,11,12,2666,20246,0.004126031507876969,0.9166666666666666,0.1316803319174158,Europe & Central Asia,9,68943587,282.80719738455923,undefined,23075,24,0,0.9905149051490516,0,7,731,7,2666,0,-0.4410069054576523,4.619605764852831,-0.8494654140703279,0,1.8958555916721105,0.7774385786827737,0,0.9862863283805252,0.004310344827586207,0.008400807098326305,0.9130747126436781,11,2655,11,1
GEO,5,29,8,20246,0.625,0.1724137931034483,3.951397806974217e-4,Europe & Central Asia,49,403272,5.796553161518449,32,5242,1,1,0,2,0,0,0,8,32,-0.34673906368663343,-0.2705344516198761,-0.299166004466653,1,-0.3290051983142484,-0.4084997448882041,1,0.004310344827586207,0.9956896551724138,0.6239224137931034,0.17523781212841855,5,3,5,24
GHA,0,52,0,20246,0,0,0,Sub-Saharan Africa,31,288179,1.20744210601293,66,2301,0,1,0,14,0,0,0,0,66,-0.38915959248359194,-0.35154721050981214,0.28552711823725163,1,-0.6959269491890244,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,52
GIN,0,82,0,20246,0,0,0,Sub-Saharan Africa,72,74203,0.3037347217787821,65,1347,0,1,0,32,0,0,0,0,65,-0.2925350546682976,-0.3675005896153764,0.2683302616871368,1,-0.8149488296155923,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,82
GMB,0,25,0,20246,0,0,0,Sub-Saharan Africa,10,179959,17.13732025521379,58,2119,0,1,0,1,0,0,0,0,58,-0.43865020941337685,-0.07033297053210681,0.1479522658363329,1,-0.7186334295219755,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,25
GNQ,0,23,0,20246,0,0,0,Sub-Saharan Africa,46,66583,2.4963632273545295,55,2958,0,1,0,11,0,0,0,0,55,-0.3538091518194598,-0.32879355413313277,0.09636169618598837,1,-0.6139590504046899,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,23
GRC,5,35,5,20246,1,0.14285714285714285,2.469623629358886e-4,Europe & Central Asia,44,803404,6.116373436465098,undefined,15302,5,0.8695652173913043,0,20,3,0,0,5,0,-0.3585225439080108,-0.264888581971269,-0.8494654140703279,0,0.9260892640455771,-0.20224960165846884,0,0.004310344827586207,0.8663793103448276,0.9956896551724138,0.14593596059113298,5,0,5,30
GTM,0,101,0,20246,0,0,0,Latin America & Caribbean,111,859921,7.902886656679933,undefined,3710,0,1,0,23,0,0,0,0,0,-0.20062390894155419,-0.2333508041723823,-0.8494654140703279,0,-0.5201388679300787,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,101
HND,0,7,0,20246,0,0,0,Latin America & Caribbean,52,1081297,9.634051159599776,undefined,3238,1,1,0,3,0,0,0,0,0,-0.33966897555380704,-0.20279011152895438,-0.8494654140703279,0,-0.5790260037386112,-0.4084997448882041,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,7
HRV,5,19,5,20246,1,0.2631578947368421,2.469623629358886e-4,Europe & Central Asia,38,94190,1.7101512428055266,undefined,15762,7,0.6153846153846154,0,8,5,0,0,5,0,-0.37266272017366364,-0.34267275669987696,-0.8494654140703279,0,0.9834792692827063,-0.09912453004360122,0,0.004310344827586207,0.6143899204244032,0.9956896551724138,0.26519963702359345,5,0,5,14
HTI,0,16,0,20246,0,0,0,Latin America & Caribbean,16,97750,3.6349100104120184,219,2297,0,1,0,8,0,0,0,0,219,-0.424510033147724,-0.30869449466276044,2.9166461704048223,1,-0.6964259927128256,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,16
IDN,307,898,314,20246,0.9777070063694268,0.3418708240534521,0.015509236392373803,East Asia & Pacific,714,958866,0.5100820447839083,74,2691,11,0.48132780082987553,0.0079365079365079309,232,250,2,250,314,74,1.2204638057565553,-0.3638578872000267,0.4231019706381704,1,-0.6472702056184149,0.10712561318613403,1,0.01217843459222769,0.48148876806410074,0.9735888425214144,0.3432340066047155,307,7,307,591
IND,599,872,716,20246,0.8365921787709497,0.6869266055045872,0.035365010372419244,South Asia,767,6159603,1.9545285792072984,76,1356,85,0.16366906474820145,0.10748560460652593,91,465,56,465,716,76,1.3453686961031555,-0.33835870066753704,0.45749568373840005,1,-0.8138259816870399,3.9227532629362365,1,0.11086934939440071,0.1665684693624411,0.833690522057407,0.6853151692502373,599,117,599,273
IRL,1,10,1,20246,1,0.1,4.9392472587177715e-5,Europe & Central Asia,3,2037265,29.336381308949527,undefined,15227,1,1,0,3,0,0,0,1,0,-0.45514708172330515,0.1450201947926397,-0.8494654140703279,0,0.916732197974306,-0.4084997448882041,0,0.004310344827586207,0.9956896551724138,0.9956896551724138,0.10344827586206896,1,0,1,9
IRN,60,154,60,20246,1,0.38961038961038963,0.002963548355230663,Middle East & North Africa,180,189743,0.11694411744765829,undefined,6368,8,0.5058823529411764,0,43,42,0,0,60,0,-0.03801188188654662,-0.3707980522412653,-0.8494654140703279,0,-0.18852444636423216,-0.0475619942361674,0,0.004310344827586207,0.5058316430020283,0.9956896551724138,0.39056202418271385,60,0,60,94
IRQ,0,35,0,20246,0,0,0,Middle East & North Africa,55,23589,0.05393411025523186,91,7964,0,1,0,3,0,0,0,0,91,-0.3325988874209806,-0.3719103841196166,0.7154485319901227,1,0.010593919632416102,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,35
ISL,2,3,2,20246,1,0.6666666666666666,9.878494517435543e-5,Europe & Central Asia,3,1042072,10.177478269362243,undefined,28908,3,0.3333333333333333,0,1,2,0,0,2,0,-0.45514708172330515,-0.19319685285969082,-0.8494654140703279,0,2.623585810255099,-0.3053746732733365,0,0.004310344827586207,0.3347701149425287,0.9956896551724138,0.6652298850574712,2,0,2,1
ISR,6,13,7,20246,0.8571428571428571,0.46153846153846156,3.45747308110244e-4,Middle East & North Africa,19,1505995,68.76375507967673,75,20323,4,0.3333333333333333,0,1,2,0,0,7,75,-0.41743994501489756,0.8410417742049205,0.4402988271882852,1,1.5525136472969374,-0.25381213746590264,1,0.004310344827586207,0.3347701149425287,0.854064039408867,0.461870026525199,6,1,6,7
ITA,8,56,178,20246,0.0449438202247191,0.14285714285714285,0.008791860120517633,Europe & Central Asia,31,1206252,4.0050201703272075,undefined,23116,21,0.7142857142857143,0.9384615384615383,10,4,61,4,178,0,-0.38915959248359194,-0.30216084472810617,-0.8494654140703279,0,1.900970787791072,0.6227509712604722,0,0.9346816976127319,0.7124384236453202,0.048866718326230144,0.14593596059113298,8,170,8,48
JAM,0,9,0,20246,0,0,0,Latin America & Caribbean,5,311173,28.20384301640532,61,5288,0,1,0,4,0,0,0,0,61,-0.45043368963475416,0.12502720475213241,0.19954283548667742,1,-0.3232661977905355,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,9
JOR,0,8,0,20246,0,0,0,Middle East & North Africa,15,32812,0.3692425418903256,77,4048,0,1,0,1,0,0,0,0,77,-0.42686672919199947,-0.3663441632025235,0.47469254028851493,1,-0.47796969016888374,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,8
JPN,42,130,77,20246,0.5454545454545454,0.3230769230769231,0.003803220389212684,East Asia & Pacific,97,6215039,16.63964091799908,undefined,23400,76,0.4576271186440678,0.2195121951219512,27,32,9,32,77,0,-0.2336176535614108,-0.07911863199521496,-0.8494654140703279,0,1.9364028779809517,3.4586904406693324,0,0.22193019343986542,0.45799240210403275,0.5450626959247649,0.3246021220159151,42,35,42,88
KEN,4,93,4,20246,1,0.043010752688172046,1.9756989034871086e-4,Sub-Saharan Africa,238,1172085,2.001159290630234,60,2078,1,0.8918918918918919,0,33,4,0,0,4,60,0.09867648868143075,-0.3375355167141131,0.1823459789365626,1,-0.7237486256409371,-0.4084997448882041,1,0.004310344827586207,0.8885135135135135,0.9956896551724138,0.046950315164998146,4,0,4,89
KGZ,0,10,0,20246,0,0,0,Europe & Central Asia,13,43982,0.22102618222021217,32,3354,0,1,0,6,0,0,0,0,32,-0.4315801212805504,-0.36896066475680467,-0.299166004466653,1,-0.5645537415483787,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,10
KHM,0,50,0,20246,0,0,0,East Asia & Pacific,208,210083,1.1602949298575056,70,1022,2,1,0,12,0,0,0,0,70,0.02797560735316659,-0.35237951174811805,0.354314544437711,1,-0.8554961159244336,-0.3569372090807703,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,50
KOR,23,45,25,20246,0.92,0.5111111111111111,0.0012348118146794428,East Asia & Pacific,61,2598268,26.36657736645559,undefined,10732,18,0.40540540540540543,0.04347826086956521,15,22,1,22,25,0,-0.31845871115532776,0.09259348124535992,-0.8494654140703279,0,0.35593203810279356,0.46806336383817077,0,0.047413793103448267,0.40622087604846224,0.9163793103448277,0.511015325670498,23,2,23,22
LAO,0,157,0,20246,0,0,0,East Asia & Pacific,339,75711,0.33189983955390723,70,1379,4,1,0,99,0,0,0,0,70,0.3367027891532534,-0.3670033835404252,0.354314544437711,1,-0.8109564814251834,-0.25381213746590264,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,157
LBN,0,2,0,20246,0,0,0,Middle East & North Africa,4,29358,2.9358,80,11138,0,1,0,1,0,0,0,0,80,-0.4527903856790297,-0.32103606365641174,0.5262831099388594,1,0.4065849557686076,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,2
LBR,0,63,0,20246,0,0,0,Sub-Saharan Africa,45,85432,0.8964721190371254,undefined,838,0,1,0,16,0,0,0,0,0,-0.35616584786373534,-0.35703684374643957,-0.8494654140703279,0,-0.8784521180192854,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,63
LKA,32,68,35,20246,0.9142857142857143,0.47058823529411764,0.00172873654055122,South Asia,66,286499,4.321838560287218,75,2910,7,0.5,0.04347826086956521,22,22,1,22,35,75,-0.3066752309339504,-0.2965679681279776,0.4402988271882852,1,-0.6199475726903034,-0.09912453004360122,1,0.047413793103448267,0.5,0.9107142857142857,0.470841784989858,32,3,32,36
MAR,0,31,0,20246,0,0,0,Middle East & North Africa,23,490924,0.8296208670964688,67,4509,0,1,0,18,0,0,0,0,67,-0.4080131608377957,-0.3582169861072267,0.30272397478736646,1,-0.4204549240508043,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,31
MDG,0,87,0,20246,0,0,0,Sub-Saharan Africa,79,1306581,1.5204052723176342,63,1127,4,1,0,75,0,0,0,0,63,-0.2760381823583693,-0.3460223911653648,0.23393654858690713,1,-0.8423962234246541,-0.25381213746590264,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,87
MEX,60,481,60,20246,1,0.12474012474012475,0.002963548355230663,Latin America & Caribbean,392,12245686,6.2546695426149235,202,10050,24,0.8350515463917526,0,243,48,0,0,60,202,0.46160767949985343,-0.2624472052062653,2.62429960905287,1,0.270845117294702,0.7774385786827737,1,0.004310344827586207,0.8321631709918238,0.9956896551724138,0.12797512366477884,60,0,60,421
MLI,0,15,0,20246,0,0,0,Sub-Saharan Africa,6,72006,0.05747954058515682,63,910,0,1,0,2,0,0,0,0,63,-0.4480769935904787,-0.37184779572526194,0.23393654858690713,1,-0.8694693345908652,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,15
MMR,2,289,2,20246,1,0.006920415224913495,9.878494517435543e-5,East Asia & Pacific,331,104989,0.1583164821709424,75,1144,2,0.9893048128342246,0,185,2,0,0,2,75,0.31784922079904965,-0.3700676952358463,0.4402988271882852,1,-0.8402752884484994,-0.3569372090807703,1,0.004310344827586207,0.9850866678959985,0.9956896551724138,0.011171101300560793,2,0,2,287
MNE,1,9,1,20246,1,0.1111111111111111,4.9392472587177715e-5,Europe & Central Asia,6,15061,1.0971807386901726,undefined,13656,3,1,0,1,0,0,0,1,0,-0.4480769935904787,-0.35349368281299964,-0.8494654140703279,0,0.7207328540014148,-0.3053746732733365,0,0.004310344827586207,0.9956896551724138,0.9956896551724138,0.11446360153256704,1,0,1,8
MNG,0,30,0,20246,0,0,0,East Asia & Pacific,44,99066,0.06331515886310604,undefined,2200,0,1,0,9,0,0,0,0,0,-0.3585225439080108,-0.37174477805347167,-0.8494654140703279,0,-0.7085277981650028,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,30
MWI,0,180,0,20246,0,0,0,Sub-Saharan Africa,445,181635,1.5212566374646144,59,1031,2,1,0,15,0,0,0,0,59,0.5865125698464534,-0.34600736179724856,0.16514912238644774,1,-0.8543732679958811,-0.3569372090807703,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,180
MYS,19,204,19,20246,1,0.09313725490196079,9.384569791563766e-4,East Asia & Pacific,238,1213484,3.700943928511521,66,7773,19,0.9117647058823528,0.25,62,6,2,6,19,66,0.09867648868143075,-0.30752878090668667,0.28552711823725163,1,-0.013235408629087543,0.5196258996456046,1,0.2521551724137931,0.9082150101419878,0.9956896551724138,0.09664469235970251,19,0,19,185
NAM,0,14,0,20246,0,0,0,Sub-Saharan Africa,21,654333,0.7953356759890753,undefined,5287,1,1,0,1,0,0,0,0,0,-0.41272655292634663,-0.35882223141227254,-0.8494654140703279,0,-0.32339095867148576,-0.4084997448882041,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,14
