species,country_distribution,region_distribution
Clarias dumerilii,AGO,Sub-Saharan Africa
Clarias nigromarmoratus,AGO,Sub-Saharan Africa
Clarias platycephalus,AGO,Sub-Saharan Africa
Congoglanis howesi,AGO,Sub-Saharan Africa
Distichodus fasciolatus,AGO,Sub-Saharan Africa
Doryichthys aculeatus,AGO,Sub-Saharan Africa
Doumea alula,AGO,Sub-Saharan Africa
Doumea angolensis,AGO,Sub-Saharan Africa
Doumea scaphyrhynchura,AGO,Sub-Saharan Africa
Dundocharax bidentatus,AGO,Sub-Saharan Africa
Engraulicypris howesi,AGO,Sub-Saharan Africa
Euchilichthys royauxi,AGO,Sub-Saharan Africa
Eutropius angolensis,AGO,Sub-Saharan Africa
Eutropius ansorgii,AGO,Sub-Saharan Africa
Eutropius bocagii,AGO,Sub-Saharan Africa
Garra congoensis,AGO,Sub-Saharan Africa
Gnathonemus angolensis,AGO,Sub-Saharan Africa
Gnathonemus cassaicus,AGO,Sub-Saharan Africa
Gnathonemus dundoensis,AGO,Sub-Saharan Africa
Gnathonemus tshokwe,AGO,Sub-Saharan Africa
Gobius maindroni,AGO,Sub-Saharan Africa
Gymnallabes apus,AGO,Sub-Saharan Africa
Haplochilus cabindae,AGO,Sub-Saharan Africa
Haplochilus calliurus australis,AGO,Sub-Saharan Africa
Haplochilus loemensis,AGO,Sub-Saharan Africa
Haplochilus macrurus,AGO,Sub-Saharan Africa
Haplochilus singa,AGO,Sub-Saharan Africa
Haplochromis albolabris,AGO,Sub-Saharan Africa
Haplochromis coulteri,AGO,Sub-Saharan Africa
Haplochromis machadoi,AGO,Sub-Saharan Africa
Haplochromis schwetzi,AGO,Sub-Saharan Africa
Hemigrammocharax angolensis,AGO,Sub-Saharan Africa
Hemigrammocharax lineostriatus,AGO,Sub-Saharan Africa
Hemigrammocharax machadoi,AGO,Sub-Saharan Africa
Hemigrammocharax monardi,AGO,Sub-Saharan Africa
Hippopotamyrus longilateralis,AGO,Sub-Saharan Africa
Hydrocyonoides cuvieri,AGO,Sub-Saharan Africa
Kneria marmorata,AGO,Sub-Saharan Africa
Kneria maydelli,AGO,Sub-Saharan Africa
Kneria sjolandersi,AGO,Sub-Saharan Africa
Labeo annectens,AGO,Sub-Saharan Africa
Labeo ansorgii,AGO,Sub-Saharan Africa
Labeo lukulae,AGO,Sub-Saharan Africa
Labeobarbus nanningsi,AGO,Sub-Saharan Africa
Lacustricola bragancai,AGO,Sub-Saharan Africa
Lacustricola pygmaeus,AGO,Sub-Saharan Africa
Leptoglanis dorae,AGO,Sub-Saharan Africa
Leptoglanis flavomaculatus,AGO,Sub-Saharan Africa
Malapterurus beninensis,AGO,Sub-Saharan Africa
Marcusenius ansorgii,AGO,Sub-Saharan Africa
Marcusenius cubangoensis,AGO,Sub-Saharan Africa
Marcusenius desertus,AGO,Sub-Saharan Africa
Marcusenius jacksoni,AGO,Sub-Saharan Africa
Marcusenius multisquamatus,AGO,Sub-Saharan Africa
Marcusenius pappenheimi,AGO,Sub-Saharan Africa
Mastacembelus ansorgii,AGO,Sub-Saharan Africa
Mastacembelus flavomarginatus,AGO,Sub-Saharan Africa
Microctenopoma steveboyesi,AGO,Sub-Saharan Africa
Microctenopoma stevenorrisi,AGO,Sub-Saharan Africa
Mormyrus kingsleyae,AGO,Sub-Saharan Africa
Mormyrus moorii,AGO,Sub-Saharan Africa
Mormyrus pauciradiatus,AGO,Sub-Saharan Africa
Nannocharax fasciolaris,AGO,Sub-Saharan Africa
Nannocharax macropterus,AGO,Sub-Saharan Africa
Nannocharax multifasciatus,AGO,Sub-Saharan Africa
Nannocharax parvus,AGO,Sub-Saharan Africa
Nannocharax procatopus,AGO,Sub-Saharan Africa
Nomorhamphus sagittarius,AGO,Sub-Saharan Africa
Odaxothrissa ansorgii,AGO,Sub-Saharan Africa
Panchax escherichi,AGO,Sub-Saharan Africa
Pelmatochromis welwitschi,AGO,Sub-Saharan Africa
Petersius ansorgii,AGO,Sub-Saharan Africa
Petrocephalus christyi,AGO,Sub-Saharan Africa
Petrocephalus cunganus,AGO,Sub-Saharan Africa
Petrocephalus longicapitis,AGO,Sub-Saharan Africa
Petrocephalus magnitrunci,AGO,Sub-Saharan Africa
Petrocephalus magnoculis,AGO,Sub-Saharan Africa
Petrocephalus microphthalmus,AGO,Sub-Saharan Africa
Petrocephalus okavangensis,AGO,Sub-Saharan Africa
Petrocephalus simus,AGO,Sub-Saharan Africa
Phractura macrura,AGO,Sub-Saharan Africa
Pimelodus cranchii,AGO,Sub-Saharan Africa
Pimelodus nigrodigitatus,AGO,Sub-Saharan Africa
Platyclarias machadoi,AGO,Sub-Saharan Africa
Poecilia spilauchena,AGO,Sub-Saharan Africa
Pollimyrus marianne,AGO,Sub-Saharan Africa
Puntius kessleri,AGO,Sub-Saharan Africa
Sarcodaces odoe lineata,AGO,Sub-Saharan Africa
Sarotherodon melanotheron,AGO,Sub-Saharan Africa
Serranochromis alvum,AGO,Sub-Saharan Africa
Serranochromis cacuchi,AGO,Sub-Saharan Africa
Serranochromis cuanza,AGO,Sub-Saharan Africa
Serranochromis gracilis,AGO,Sub-Saharan Africa
Serranochromis spei,AGO,Sub-Saharan Africa
Serranochromis swartzi,AGO,Sub-Saharan Africa
Syngnathus ansorgii,AGO,Sub-Saharan Africa
Synodontis laessoei,AGO,Sub-Saharan Africa
Synodontis longirostris,AGO,Sub-Saharan Africa
Synodontis macropunctata,AGO,Sub-Saharan Africa
Synodontis ornatipinnis,AGO,Sub-Saharan Africa
Tilapia lucullae,AGO,Sub-Saharan Africa
Varicorhinus ansorgii,AGO,Sub-Saharan Africa
Varicorhinus clarkeae,AGO,Sub-Saharan Africa
Varicorhinus macrolepidotus,AGO,Sub-Saharan Africa
Varicorhinus sandersi,AGO,Sub-Saharan Africa
Varicorhinus steindachneri,AGO,Sub-Saharan Africa
Varicorhinus stenostoma,AGO,Sub-Saharan Africa
Varicorhinus varicostoma,AGO,Sub-Saharan Africa
Xenopomichthys ansorgii,AGO,Sub-Saharan Africa
Acara dimerus,ARG,Latin America & Caribbean
Acara dorsiger,ARG,Latin America & Caribbean
Acara vittatus,ARG,Latin America & Caribbean
Acestrorhamphus bolivianus,ARG,Latin America & Caribbean
Acestrorhynchus pantaneiro,ARG,Latin America & Caribbean
Achirus lorentzii,ARG,Latin America & Caribbean
Acrobrycon tarijae,ARG,Latin America & Caribbean
Ageneiosus marmoratus,ARG,Latin America & Caribbean
Amaralia oviraptor,ARG,Latin America & Caribbean
Anacyrtus prognathus,ARG,Latin America & Caribbean
Ancistrus mullerae,ARG,Latin America & Caribbean
Ancistrus piriformis,ARG,Latin America & Caribbean
Ancistrus taunayi,ARG,Latin America & Caribbean
Anostomus platae,ARG,Latin America & Caribbean
Apareiodon vittatus,ARG,Latin America & Caribbean
Aphyocharax anisitsi,ARG,Latin America & Caribbean
Aphyocharax dentatus,ARG,Latin America & Caribbean
Argolebias adrianae,ARG,Latin America & Caribbean
Argolebias guarani,ARG,Latin America & Caribbean
Aristommata inexspectata,ARG,Latin America & Caribbean
Arius albicans,ARG,Latin America & Caribbean
Asiphonichthys stenopterus,ARG,Latin America & Caribbean
Astyanax aramburui,ARG,Latin America & Caribbean
Astyanax bifasciatus,ARG,Latin America & Caribbean
Astyanax chico,ARG,Latin America & Caribbean
Astyanax dissensus,ARG,Latin America & Caribbean
Astyanax dissimilis,ARG,Latin America & Caribbean
Astyanax eigenmanni,ARG,Latin America & Caribbean
Astyanax endy,ARG,Latin America & Caribbean
Astyanax fasciatus parahybae,ARG,Latin America & Caribbean
Astyanax gymnogenys,ARG,Latin America & Caribbean
Astyanax hermosus,ARG,Latin America & Caribbean
Astyanax ita,ARG,Latin America & Caribbean
Astyanax latens,ARG,Latin America & Caribbean
Astyanax leonidas,ARG,Latin America & Caribbean
Astyanax ojiara,ARG,Latin America & Caribbean
Astyanax paris,ARG,Latin America & Caribbean
Astyanax pelegrini,ARG,Latin America & Caribbean
Astyanax powelli,ARG,Latin America & Caribbean
Astyanax puka,ARG,Latin America & Caribbean
Astyanax pynandi,ARG,Latin America & Caribbean
Astyanax saguazu,ARG,Latin America & Caribbean
Astyanax stenohalinus,ARG,Latin America & Caribbean
Astyanax troya,ARG,Latin America & Caribbean
Astyanax tumbayaensis,ARG,Latin America & Caribbean
Astyanax tupi,ARG,Latin America & Caribbean
Astyanax xiru,ARG,Latin America & Caribbean
Auchenipterus (Pseudauchenipterus) striatulus,ARG,Latin America & Caribbean
Auchenipterus ceratophysus,ARG,Latin America & Caribbean
Australoheros angiru,ARG,Latin America & Caribbean
Australoheros kaaygua,ARG,Latin America & Caribbean
Australoheros ykeregua,ARG,Latin America & Caribbean
Austrolebias toba,ARG,Latin America & Caribbean
Austrolebias wichi,ARG,Latin America & Caribbean
Belone angusticeps,ARG,Latin America & Caribbean
Biotodoma trifasciatus,ARG,Latin America & Caribbean
Bleptonema paraguayensis,ARG,Latin America & Caribbean
Brachyhypopomus bombilla,ARG,Latin America & Caribbean
Brachyhypopomus draco,ARG,Latin America & Caribbean
Brochiloricaria chauliodon,ARG,Latin America & Caribbean
Bryconamericus agna,ARG,Latin America & Caribbean
Bryconamericus exodon,ARG,Latin America & Caribbean
Bryconamericus ikaa,ARG,Latin America & Caribbean
Bryconamericus mennii,ARG,Latin America & Caribbean
Bryconamericus pyahu,ARG,Latin America & Caribbean
Bryconamericus stramineus,ARG,Latin America & Caribbean
Bryconamericus sylvicola,ARG,Latin America & Caribbean
Bryconamericus thomasi,ARG,Latin America & Caribbean
Bryconamericus uporas,ARG,Latin America & Caribbean
Bryconamericus ytu,ARG,Latin America & Caribbean
Bunocephalus depressus,ARG,Latin America & Caribbean
Bunocephalus doriae,ARG,Latin America & Caribbean
