species,country_distribution,region_distribution
Orestias incae,BOL,Latin America & Caribbean
Orestias ispi,BOL,Latin America & Caribbean
Orestias jussiei puni,BOL,Latin America & Caribbean
Orestias minimus,BOL,Latin America & Caribbean
Orestias mulleri,BOL,Latin America & Caribbean
Orestias olivaceus,BOL,Latin America & Caribbean
Orestias polonorum,BOL,Latin America & Caribbean
Orestias robustus,BOL,Latin America & Caribbean
Orestias rotundipinnis,BOL,Latin America & Caribbean
Orestias taquiri,BOL,Latin America & Caribbean
Orestias tchernavini,BOL,Latin America & Caribbean
Orestias tomcooni,BOL,Latin America & Caribbean
Orestias tutini,BOL,Latin America & Caribbean
Orestias uruni,BOL,Latin America & Caribbean
Ossancora asterophysa,BOL,Latin America & Caribbean
Otocinclus caxarari,BOL,Latin America & Caribbean
Otocinclus mariae,BOL,Latin America & Caribbean
Otocinclus vestitus,BOL,Latin America & Caribbean
Otocinclus vittatus,BOL,Latin America & Caribbean
Oxydoras acipenserinus,BOL,Latin America & Caribbean
Oxydoras eigenmanni,BOL,Latin America & Caribbean
Oxydoras kneri,BOL,Latin America & Caribbean
Oxydoras morei,BOL,Latin America & Caribbean
Oxydoras nattereri,BOL,Latin America & Caribbean
Oxydoras orestis,BOL,Latin America & Caribbean
Oxydoras steindachneri,BOL,Latin America & Caribbean
Oxydoras stuebelii,BOL,Latin America & Caribbean
Pachyurus (Lepipterus) bonariensis,BOL,Latin America & Caribbean
Pachyurus schomburgkii,BOL,Latin America & Caribbean
Papiliolebias ashleyae,BOL,Latin America & Caribbean
Papiliolebias francescae,BOL,Latin America & Caribbean
Papiliolebias hatinne,BOL,Latin America & Caribbean
Paracanthopoma truculenta,BOL,Latin America & Caribbean
Paragoniates alburnus,BOL,Latin America & Caribbean
Parecbasis cyclolepis,BOL,Latin America & Caribbean
Parodon buckleyi,BOL,Latin America & Caribbean
Parodon carrikeri,BOL,Latin America & Caribbean
Pellona castelnaeana,BOL,Latin America & Caribbean
Phenacogaster beni,BOL,Latin America & Caribbean
Phreatobius sanguijuela,BOL,Latin America & Caribbean
Physopyxis lyra,BOL,Latin America & Caribbean
Piabuca purusii,BOL,Latin America & Caribbean
Piabuca spilurus,BOL,Latin America & Caribbean
Piabucus caudomaculatus,BOL,Latin America & Caribbean
Pimelodella boliviana,BOL,Latin America & Caribbean
Pimelodella chaparae,BOL,Latin America & Caribbean
Pimelodella cochabambae,BOL,Latin America & Caribbean
Pimelodella griffini,BOL,Latin America & Caribbean
Pimelodella hasemani,BOL,Latin America & Caribbean
Pimelodella howesi,BOL,Latin America & Caribbean
Pimelodella laticeps,BOL,Latin America & Caribbean
Pimelodella mucosa,BOL,Latin America & Caribbean
Pimelodella roccae,BOL,Latin America & Caribbean
Pimelodella serrata,BOL,Latin America & Caribbean
Pimelodella steindachneri,BOL,Latin America & Caribbean
Pimelodina flavipinnis,BOL,Latin America & Caribbean
Pimelodus (Pimelodella) taeniophorus,BOL,Latin America & Caribbean
Pimelodus altipinnis,BOL,Latin America & Caribbean
Pimelodus altissimus,BOL,Latin America & Caribbean
Pimelodus argenteus,BOL,Latin America & Caribbean
Pimelodus blochii,BOL,Latin America & Caribbean
Pimelodus buckleyi,BOL,Latin America & Caribbean
Pimelodus cristatus,BOL,Latin America & Caribbean
Pimelodus filamentosus,BOL,Latin America & Caribbean
Pimelodus gracilis,BOL,Latin America & Caribbean
Pimelodus mangurus,BOL,Latin America & Caribbean
Pimelodus nigrofasciatus,BOL,Latin America & Caribbean
Pimelodus pati,BOL,Latin America & Caribbean
Pimelodus pictus,BOL,Latin America & Caribbean
Pimelodus raninus,BOL,Latin America & Caribbean
Platystoma corruscans,BOL,Latin America & Caribbean
Platystoma juruense,BOL,Latin America & Caribbean
Platystoma mucosa,BOL,Latin America & Caribbean
Platystoma platyrhynchos,BOL,Latin America & Caribbean
Platystoma sturio,BOL,Latin America & Caribbean
Platystoma tigrinum,BOL,Latin America & Caribbean
Platystoma vaillantii,BOL,Latin America & Caribbean
Plecostomus bolivianus,BOL,Latin America & Caribbean
Plecostomus borellii,BOL,Latin America & Caribbean
Plecostomus boulengeri,BOL,Latin America & Caribbean
Plecostomus unicolor,BOL,Latin America & Caribbean
Plectrochilus machadoi,BOL,Latin America & Caribbean
Plesiolebias bitteri,BOL,Latin America & Caribbean
Poecilobrycon digrammus,BOL,Latin America & Caribbean
Poecilurichthys moenkhausii,BOL,Latin America & Caribbean
Porotergus gimbeli,BOL,Latin America & Caribbean
Porotergus gymnotus,BOL,Latin America & Caribbean
Potamorrhaphis eigenmanni,BOL,Latin America & Caribbean
Potamorrhaphis petersi,BOL,Latin America & Caribbean
Potamotrygon amandae,BOL,Latin America & Caribbean
Potamotrygon castexi,BOL,Latin America & Caribbean
Potamotrygon falkneri,BOL,Latin America & Caribbean
Potamotrygon pantanensis,BOL,Latin America & Caribbean
Prodontocharax melanotus,BOL,Latin America & Caribbean
Psectrogaster amazonica,BOL,Latin America & Caribbean
Psectrogaster curviventris,BOL,Latin America & Caribbean
Pseudohemiodon (Planiloricaria) cryptodon,BOL,Latin America & Caribbean
Pseudohemiodon thorectes,BOL,Latin America & Caribbean
Pseudopimelodus parahybae,BOL,Latin America & Caribbean
Pseudoplatystoma fasciatum reticulatum,BOL,Latin America & Caribbean
Pterolebias longipinnis,BOL,Latin America & Caribbean
Pterolebias phasianus,BOL,Latin America & Caribbean
Pygidium alterum,BOL,Latin America & Caribbean
Pygidium atochae,BOL,Latin America & Caribbean
Pygidium barbouri,BOL,Latin America & Caribbean
Pygidium boylei,BOL,Latin America & Caribbean
Pygidium fassli,BOL,Latin America & Caribbean
Pygidium hasemani,BOL,Latin America & Caribbean
Pygidium heterodontum,BOL,Latin America & Caribbean
Pygidium spegazzinii,BOL,Latin America & Caribbean
Pygidium tiraquae,BOL,Latin America & Caribbean
Pygocentrus nattereri,BOL,Latin America & Caribbean
Pyrrhulina australe,BOL,Latin America & Caribbean
Pyrrhulina beni,BOL,Latin America & Caribbean
Pyrrhulina brevis,BOL,Latin America & Caribbean
Pyrrhulina vittata,BOL,Latin America & Caribbean
Raeboides myersii,BOL,Latin America & Caribbean
Rhabdolichops eastwardi,BOL,Latin America & Caribbean
Rhamdella rusbyi,BOL,Latin America & Caribbean
Rhamdia poeyi,BOL,Latin America & Caribbean
Rhamphichthys (Brachyrhamphichthys) elegans,BOL,Latin America & Caribbean
Rhamphichthys artedi,BOL,Latin America & Caribbean
Rhamphichthys brevirostris,BOL,Latin America & Caribbean
Rhamphichthys drepanium,BOL,Latin America & Caribbean
Rhaphiodon gibbus,BOL,Latin America & Caribbean
Rhaphiodon vulpinus,BOL,Latin America & Caribbean
Rhinelepis levis,BOL,Latin America & Caribbean
Rhinodoras boehlkei,BOL,Latin America & Caribbean
Rhyacoglanis epiblepsis,BOL,Latin America & Caribbean
Rhytiodus lauzannei,BOL,Latin America & Caribbean
Rhytiodus microlepis,BOL,Latin America & Caribbean
Rineloricaria castroi,BOL,Latin America & Caribbean
Rivulus beniensis beniensis,BOL,Latin America & Caribbean
Rivulus punctatus,BOL,Latin America & Caribbean
Rivulus rogoaguae,BOL,Latin America & Caribbean
Roeboides dispar,BOL,Latin America & Caribbean
Salmo falcatus,BOL,Latin America & Caribbean
Salmo friderici,BOL,Latin America & Caribbean
Salmo gibbosus,BOL,Latin America & Caribbean
Salmo melanurus,BOL,Latin America & Caribbean
Salmo rhombeus,BOL,Latin America & Caribbean
Salmo unimaculatus,BOL,Latin America & Caribbean
Schizodon isognathus,BOL,Latin America & Caribbean
Schizodon taeniatus,BOL,Latin America & Caribbean
Schizodon trimaculatus,BOL,Latin America & Caribbean
Schizodontopsis laticeps,BOL,Latin America & Caribbean
Sciades marmoratus,BOL,Latin America & Caribbean
Scoloplax dicra,BOL,Latin America & Caribbean
Scoloplax empousa,BOL,Latin America & Caribbean
Semitapiscis squamoralevis,BOL,Latin America & Caribbean
Serrasalmo hollandi,BOL,Latin America & Caribbean
Serrasalmus compressus,BOL,Latin America & Caribbean
Serrasalmus eigenmanni,BOL,Latin America & Caribbean
Serrasalmus maculatus,BOL,Latin America & Caribbean
Serrasalmus magallanesi,BOL,Latin America & Caribbean
Serrasalmus mento,BOL,Latin America & Caribbean
Serrasalmus odyssei,BOL,Latin America & Caribbean
Serrasalmus spilopleura,BOL,Latin America & Caribbean
Silurus coecutiens,BOL,Latin America & Caribbean
Silurus fasciatus,BOL,Latin America & Caribbean
Silurus lima,BOL,Latin America & Caribbean
Simpsonichthys filamentosus,BOL,Latin America & Caribbean
Solea (Achiropsis) nattereri,BOL,Latin America & Caribbean
Solea jenynsii,BOL,Latin America & Caribbean
Solea mentalis,BOL,Latin America & Caribbean
Sorubim elongatus,BOL,Latin America & Caribbean
Sorubim maniradii,BOL,Latin America & Caribbean
Spectrolebias brousseaui,BOL,Latin America & Caribbean
Spectrolebias pilleti,BOL,Latin America & Caribbean
Stegophilus maculatus,BOL,Latin America & Caribbean
Stegophilus nemurus,BOL,Latin America & Caribbean
Stegophilus punctatus,BOL,Latin America & Caribbean
Stegophilus reinhardtii,BOL,Latin America & Caribbean
Steindachnerina planiventris,BOL,Latin America & Caribbean
Sternarchella orthos,BOL,Latin America & Caribbean
Sternarchogiton porcinum,BOL,Latin America & Caribbean
Sternarchogiton preto,BOL,Latin America & Caribbean
Sternarchorhynchus hagedornae,BOL,Latin America & Caribbean
Sternarchus (Rhamphosternarchus) curvirostris,BOL,Latin America & Caribbean
Sternarchus balaenops,BOL,Latin America & Caribbean
Sternarchus bonapartii,BOL,Latin America & Caribbean
Sternarchus macrostoma,BOL,Latin America & Caribbean
Sternarchus nattereri,BOL,Latin America & Caribbean
Sternarchus oxyrhynchus,BOL,Latin America & Caribbean
Sternarchus sachsi,BOL,Latin America & Caribbean
Sternarchus schotti,BOL,Latin America & Caribbean
Sternopygus humboldtii,BOL,Latin America & Caribbean
Sternopygus limbatus,BOL,Latin America & Caribbean
Sternopygus macrops,BOL,Latin America & Caribbean
Sternopygus troscheli,BOL,Latin America & Caribbean
Stethaprion copei,BOL,Latin America & Caribbean
Stethaprion crenatus,BOL,Latin America & Caribbean
Sturisoma reisi,BOL,Latin America & Caribbean
Synbranchus madeirae,BOL,Latin America & Caribbean
Tetragonopterus affinis,BOL,Latin America & Caribbean
Tetragonopterus alleni,BOL,Latin America & Caribbean
Tetragonopterus bellottii,BOL,Latin America & Caribbean
Tetragonopterus caudomaculatus,BOL,Latin America & Caribbean
Tetragonopterus chalceus,BOL,Latin America & Caribbean
Tetragonopterus chrysargyreus,BOL,Latin America & Caribbean
Tetragonopterus collettii,BOL,Latin America & Caribbean
Tetragonopterus compressus,BOL,Latin America & Caribbean
Tetragonopterus diaphanus,BOL,Latin America & Caribbean
Tetragonopterus dichrourus,BOL,Latin America & Caribbean
Tetragonopterus grandisquamis,BOL,Latin America & Caribbean
Tetragonopterus hauxwellianus,BOL,Latin America & Caribbean
Tetragonopterus iheringii,BOL,Latin America & Caribbean
Tetragonopterus ipanquianus,BOL,Latin America & Caribbean
Tetragonopterus lepidurus,BOL,Latin America & Caribbean
Tetragonopterus lineatus,BOL,Latin America & Caribbean
Tetragonopterus moorii,BOL,Latin America & Caribbean
Tetragonopterus ocellifer,BOL,Latin America & Caribbean
Tetragonopterus oligolepis,BOL,Latin America & Caribbean
Tetragonopterus pectinatus,BOL,Latin America & Caribbean
Tetragonopterus rubropictus,BOL,Latin America & Caribbean
Tetragonopterus sanctaefilomenae,BOL,Latin America & Caribbean
Tetragonopterus spilurus,BOL,Latin America & Caribbean
Tetragonopterus steindachneri,BOL,Latin America & Caribbean
Tetragonopterus ternetzi,BOL,Latin America & Caribbean
Tetragonopterus ulreyi,BOL,Latin America & Caribbean
Tetragonopterus victoriae,BOL,Latin America & Caribbean
Thayeria obliquus,BOL,Latin America & Caribbean
Trachelyopterus coriaceus,BOL,Latin America & Caribbean
Trachelyopterus taeniatus,BOL,Latin America & Caribbean
Trachycorystes porosus,BOL,Latin America & Caribbean
Trachycorystes teaguei,BOL,Latin America & Caribbean
Trichomycterus aguarague,BOL,Latin America & Caribbean
Trichomycterus amazonicus,BOL,Latin America & Caribbean
Trichomycterus borellii,BOL,Latin America & Caribbean
Trichomycterus chaberti,BOL,Latin America & Caribbean
Trichomycterus corduvensis,BOL,Latin America & Caribbean
Trichomycterus duellmani,BOL,Latin America & Caribbean
Trichomycterus eichhorniarum,BOL,Latin America & Caribbean
Trichomycterus lauzannii,BOL,Latin America & Caribbean
Trichomycterus megantoni,BOL,Latin America & Caribbean
Trichomycterus pseudosilvinichthys,BOL,Latin America & Caribbean
Trichomycterus rivulatus,BOL,Latin America & Caribbean
Trichomycterus roigi,BOL,Latin America & Caribbean
Trichomycterus therma,BOL,Latin America & Caribbean
Trichomycterus vittatus,BOL,Latin America & Caribbean
Tridens brevis,BOL,Latin America & Caribbean
Tridens melanops,BOL,Latin America & Caribbean
Tridentopsis pearsoni,BOL,Latin America & Caribbean
Trigonectes aplocheiloides,BOL,Latin America & Caribbean
Triportheus albus,BOL,Latin America & Caribbean
Trygon histrix,BOL,Latin America & Caribbean
Tympanopleura longipinna,BOL,Latin America & Caribbean
Tyttobrycon dorsimaculatus,BOL,Latin America & Caribbean
Tyttobrycon spinosus,BOL,Latin America & Caribbean
Tyttocharax madeirae,BOL,Latin America & Caribbean
Tyttocharax tambopatensis,BOL,Latin America & Caribbean
Urumara rondoni,BOL,Latin America & Caribbean
Vandellia sanguinea,BOL,Latin America & Caribbean
Xenocara montana,BOL,Latin America & Caribbean
Xenurobrycon polyancistrus,BOL,Latin America & Caribbean
Xiphorhamphus abbreviatus,BOL,Latin America & Caribbean
Xiphorhamphus heterolepis,BOL,Latin America & Caribbean
Xiphorhamphus jenynsii,BOL,Latin America & Caribbean
Xiphorhamphus lacustris,BOL,Latin America & Caribbean
Alburnus neretvae,BIH,Europe & Central Asia
Aspius arborella,BIH,Europe & Central Asia
Aulopyge huegelii,BIH,Europe & Central Asia
Chondrostoma phoxinus,BIH,Europe & Central Asia
Chondrostomus knerii,BIH,Europe & Central Asia
Cobitis bulgarica,BIH,Europe & Central Asia
Cobitis herzegoviniensis,BIH,Europe & Central Asia
Cobitis illyrica,BIH,Europe & Central Asia
Lampetra soljani,BIH,Europe & Central Asia
Lampetra zanandreai,BIH,Europe & Central Asia
Leuciscus squalus,BIH,Europe & Central Asia
Leucos basak,BIH,Europe & Central Asia
Paraphoxinus ghetaldii,BIH,Europe & Central Asia
Paraphoxinus metohiensis,BIH,Europe & Central Asia
Phoxinellus alepidotus,BIH,Europe & Central Asia
Phoxinellus pseudalepidotus,BIH,Europe & Central Asia
Phoxinus karsticus,BIH,Europe & Central Asia
Scardinius plotizza,BIH,Europe & Central Asia
Squalius microlepis,BIH,Europe & Central Asia
Squalius svallize,BIH,Europe & Central Asia
Squalius tenellus,BIH,Europe & Central Asia
Telestes dabar,BIH,Europe & Central Asia
Aplocheilus chobensis,BWA,Sub-Saharan Africa
Hydrocyonoides cuvieri,BWA,Sub-Saharan Africa
Lacustricola pygmaeus,BWA,Sub-Saharan Africa
Marcusenius cubangoensis,BWA,Sub-Saharan Africa
Nannocharax multifasciatus,BWA,Sub-Saharan Africa
Petrocephalus longicapitis,BWA,Sub-Saharan Africa
Petrocephalus magnitrunci,BWA,Sub-Saharan Africa
Petrocephalus okavangensis,BWA,Sub-Saharan Africa
Acanthicus adonis,BRA,Latin America & Caribbean
Acanthobunocephalus nicoi,BRA,Latin America & Caribbean
Acanthobunocephalus scruggsi,BRA,Latin America & Caribbean
Acanthopoma annectens,BRA,Latin America & Caribbean
Acanthopoma bondi,BRA,Latin America & Caribbean
Acara (Petenia) spectabilis,BRA,Latin America & Caribbean
Acara curviceps,BRA,Latin America & Caribbean
Acara diadema,BRA,Latin America & Caribbean
Acara dimerus,BRA,Latin America & Caribbean
Acara dorsiger,BRA,Latin America & Caribbean
Acara flavilabris,BRA,Latin America & Caribbean
Acara geayi,BRA,Latin America & Caribbean
Acara guianensis,BRA,Latin America & Caribbean
Acara maronii,BRA,Latin America & Caribbean
Acara nassa,BRA,Latin America & Caribbean
Acara portalegrensis,BRA,Latin America & Caribbean
Acara punctulata,BRA,Latin America & Caribbean
Acara tetramerus,BRA,Latin America & Caribbean
Acara viridis,BRA,Latin America & Caribbean
Acara vittatus,BRA,Latin America & Caribbean
Acaronia vultuosa,BRA,Latin America & Caribbean
Acaropsis rondoni,BRA,Latin America & Caribbean
Acentronichthys leptos,BRA,Latin America & Caribbean
Acestra amazonum,BRA,Latin America & Caribbean
Acestra gladiolus,BRA,Latin America & Caribbean
Acestra oxyrryncha,BRA,Latin America & Caribbean
Acestridium discus,BRA,Latin America & Caribbean
Acestridium gymnogaster,BRA,Latin America & Caribbean
Acestridium martini,BRA,Latin America & Caribbean
Acestridium scutatum,BRA,Latin America & Caribbean
Acestrocephalus acutus,BRA,Latin America & Caribbean
Acestrocephalus maculosus,BRA,Latin America & Caribbean
Acestrocephalus nigrifasciatus,BRA,Latin America & Caribbean
Acestrocephalus pallidus,BRA,Latin America & Caribbean
Acestrocephalus stigmatus,BRA,Latin America & Caribbean
Acestrorhynchus altus,BRA,Latin America & Caribbean
Acestrorhynchus britskii,BRA,Latin America & Caribbean
Acestrorhynchus grandoculis,BRA,Latin America & Caribbean
Acestrorhynchus isalineae,BRA,Latin America & Caribbean
Acestrorhynchus maculipinna,BRA,Latin America & Caribbean
Acestrorhynchus minimus,BRA,Latin America & Caribbean
Acestrorhynchus nasutus,BRA,Latin America & Caribbean
Acestrorhynchus pantaneiro,BRA,Latin America & Caribbean
Achiropsis asphyxiatus,BRA,Latin America & Caribbean
Achirus lorentzii,BRA,Latin America & Caribbean
Achirus mucuri,BRA,Latin America & Caribbean
Acinocheirodon melanogramma,BRA,Latin America & Caribbean
Acnodon normani,BRA,Latin America & Caribbean
Acnodon senai,BRA,Latin America & Caribbean
Adontosternarchus clarkae,BRA,Latin America & Caribbean
Adontosternarchus devenanzii,BRA,Latin America & Caribbean
Adontosternarchus duartei,BRA,Latin America & Caribbean
Adontosternarchus nebulosus,BRA,Latin America & Caribbean
Aequidens epae,BRA,Latin America & Caribbean
Aequidens gerciliae,BRA,Latin America & Caribbean
Aequidens mauesanus,BRA,Latin America & Caribbean
Aequidens michaeli,BRA,Latin America & Caribbean
Aequidens plagiozonatus,BRA,Latin America & Caribbean
Aequidens tubicen,BRA,Latin America & Caribbean
Ageneiosus akamai,BRA,Latin America & Caribbean
Ageneiosus apiaka,BRA,Latin America & Caribbean
Ageneiosus brevis,BRA,Latin America & Caribbean
Ageneiosus dentatus,BRA,Latin America & Caribbean
Ageneiosus intrusus,BRA,Latin America & Caribbean
Ageneiosus lineatus,BRA,Latin America & Caribbean
Ageneiosus polystictus,BRA,Latin America & Caribbean
Ageneiosus quadrifilis,BRA,Latin America & Caribbean
Ageneiosus rondoni,BRA,Latin America & Caribbean
Ageneiosus ucayalensis,BRA,Latin America & Caribbean
Ageneiosus uranophthalmus,BRA,Latin America & Caribbean
Ageneiosus vittatus,BRA,Latin America & Caribbean
Agoniates anchovia,BRA,Latin America & Caribbean
Agoniates halecinus,BRA,Latin America & Caribbean
Aguarunichthys inpai,BRA,Latin America & Caribbean
Aguarunichthys tocantinsensis,BRA,Latin America & Caribbean
Amaralia oviraptor,BRA,Latin America & Caribbean
Amazonichthys camelierae,BRA,Latin America & Caribbean
Amazonichthys lu,BRA,Latin America & Caribbean
Amazonspinther dalmata,BRA,Latin America & Caribbean
Amazonsprattus scintilla,BRA,Latin America & Caribbean
Amblystilbe howesi,BRA,Latin America & Caribbean
Ammocryptocharax elegans,BRA,Latin America & Caribbean
Ammocryptocharax minutus,BRA,Latin America & Caribbean
Ammoglanis amapaensis,BRA,Latin America & Caribbean
Ammoglanis diaphanus,BRA,Latin America & Caribbean
Ammoglanis multidentatus,BRA,Latin America & Caribbean
Ammoglanis nheengatu,BRA,Latin America & Caribbean
Ammoglanis obliquus,BRA,Latin America & Caribbean
Amplova jamesi,BRA,Latin America & Caribbean
Anablepsoides falconi,BRA,Latin America & Caribbean
Anablepsoides gamae,BRA,Latin America & Caribbean
Anablepsoides henschelae,BRA,Latin America & Caribbean
Anablepsoides hoetmeri,BRA,Latin America & Caribbean
Anablepsoides jari,BRA,Latin America & Caribbean
Anablepsoides katukina,BRA,Latin America & Caribbean
Anablepsoides luitalimae,BRA,Latin America & Caribbean
Anablepsoides origuelai,BRA,Latin America & Caribbean
Anablepsoides ottonii,BRA,Latin America & Caribbean
Anablepsoides roraima,BRA,Latin America & Caribbean
Anablepsoides urubuiensis,BRA,Latin America & Caribbean
Anablepsoides vieirai,BRA,Latin America & Caribbean
Anacyrtus (Cynopotamus) amazonum,BRA,Latin America & Caribbean
Anacyrtus pauciradiatus,BRA,Latin America & Caribbean
Anacyrtus prognathus,BRA,Latin America & Caribbean
Anchoviella carrikeri,BRA,Latin America & Caribbean
Anchoviella juruasanga,BRA,Latin America & Caribbean
Ancistrus abilhoai,BRA,Latin America & Caribbean
Ancistrus agostinhoi,BRA,Latin America & Caribbean
Ancistrus aguaboensis,BRA,Latin America & Caribbean
Ancistrus barrae,BRA,Latin America & Caribbean
Ancistrus bovallii,BRA,Latin America & Caribbean
Ancistrus cirrhosus dubius,BRA,Latin America & Caribbean
Ancistrus claro,BRA,Latin America & Caribbean
Ancistrus cryptophthalmus,BRA,Latin America & Caribbean
Ancistrus cuiabae,BRA,Latin America & Caribbean
Ancistrus dolichopterus,BRA,Latin America & Caribbean
Ancistrus formoso,BRA,Latin America & Caribbean
Ancistrus jataiensis,BRA,Latin America & Caribbean
Ancistrus karajas,BRA,Latin America & Caribbean
Ancistrus krenakarore,BRA,Latin America & Caribbean
Ancistrus leoni,BRA,Latin America & Caribbean
Ancistrus lituratus,BRA,Latin America & Caribbean
Ancistrus luzia,BRA,Latin America & Caribbean
Ancistrus maximus,BRA,Latin America & Caribbean
Ancistrus megacanthus,BRA,Latin America & Caribbean
Ancistrus minutus,BRA,Latin America & Caribbean
Ancistrus miracollis,BRA,Latin America & Caribbean
Ancistrus mullerae,BRA,Latin America & Caribbean
Ancistrus multispinis,BRA,Latin America & Caribbean
Ancistrus parecis,BRA,Latin America & Caribbean
Ancistrus pictus,BRA,Latin America & Caribbean
Ancistrus ranunculus,BRA,Latin America & Caribbean
Ancistrus reisi,BRA,Latin America & Caribbean
Ancistrus salgadae,BRA,Latin America & Caribbean
Ancistrus scaphirhynchus,BRA,Latin America & Caribbean
Ancistrus snethlageae,BRA,Latin America & Caribbean
Ancistrus stigmaticus,BRA,Latin America & Caribbean
Ancistrus taunayi,BRA,Latin America & Caribbean
Ancistrus tombador,BRA,Latin America & Caribbean
Ancistrus verecundus,BRA,Latin America & Caribbean
Ancistrus vittatus vermiculatus,BRA,Latin America & Caribbean
Anduzedoras copei,BRA,Latin America & Caribbean
Anodus alburnus,BRA,Latin America & Caribbean
Anostomoides atrianalis,BRA,Latin America & Caribbean
Anostomus (Schizodontopsis) garmani,BRA,Latin America & Caribbean
Anostomus dissimilis,BRA,Latin America & Caribbean
Anostomus elongatus,BRA,Latin America & Caribbean
Anostomus intermedius,BRA,Latin America & Caribbean
Anostomus knerii,BRA,Latin America & Caribbean
Anostomus platae,BRA,Latin America & Caribbean
Anostomus proximus,BRA,Latin America & Caribbean
Anostomus rostratus,BRA,Latin America & Caribbean
Anostomus ternetzi,BRA,Latin America & Caribbean
Apareiodon argenteus,BRA,Latin America & Caribbean
Apareiodon cavalcante,BRA,Latin America & Caribbean
Apareiodon davisi,BRA,Latin America & Caribbean
Apareiodon hasemani,BRA,Latin America & Caribbean
Apareiodon ibitiensis,BRA,Latin America & Caribbean
Apareiodon itapicuruensis,BRA,Latin America & Caribbean
Apareiodon machrisi,BRA,Latin America & Caribbean
Apareiodon tigrinus,BRA,Latin America & Caribbean
Apareiodon vittatus,BRA,Latin America & Caribbean
Apareiodon vladii,BRA,Latin America & Caribbean
Aphanotorulus rubrocauda,BRA,Latin America & Caribbean
Aphyocarax maxillaris,BRA,Latin America & Caribbean
Aphyocharax anisitsi,BRA,Latin America & Caribbean
Aphyocharax avary,BRA,Latin America & Caribbean
Aphyocharax brevicaudatus,BRA,Latin America & Caribbean
Aphyocharax dentatus,BRA,Latin America & Caribbean
Aphyocharax filigerus,BRA,Latin America & Caribbean
Aphyocharax gracilis,BRA,Latin America & Caribbean
Aphyocharax melanotus,BRA,Latin America & Caribbean
Aphyocharax pusillus,BRA,Latin America & Caribbean
Aphyocheirodon hemigrammus,BRA,Latin America & Caribbean
Aphyodite apiaka,BRA,Latin America & Caribbean
Aphyodite grammica,BRA,Latin America & Caribbean
Aphyodite tupebas,BRA,Latin America & Caribbean
Aphyolebias boticarioi,BRA,Latin America & Caribbean
Apionichthys menezesi,BRA,Latin America & Caribbean
Apionichthys rosai,BRA,Latin America & Caribbean
Apionichthys seripierriae,BRA,Latin America & Caribbean
Apistogramma acrensis,BRA,Latin America & Caribbean
Apistogramma angayuara,BRA,Latin America & Caribbean
Apistogramma arua,BRA,Latin America & Caribbean
Apistogramma brevis,BRA,Latin America & Caribbean
Apistogramma cacatuoides,BRA,Latin America & Caribbean
Apistogramma caetei,BRA,Latin America & Caribbean
Apistogramma diplotaenia,BRA,Latin America & Caribbean
Apistogramma eleutheria,BRA,Latin America & Caribbean
Apistogramma elizabethae,BRA,Latin America & Caribbean
Apistogramma flavipedunculata,BRA,Latin America & Caribbean
Apistogramma geisleri,BRA,Latin America & Caribbean
Apistogramma gephyra,BRA,Latin America & Caribbean
Apistogramma gibbiceps,BRA,Latin America & Caribbean
Apistogramma gossei,BRA,Latin America & Caribbean
Apistogramma hippolytae,BRA,Latin America & Caribbean
Apistogramma inconspicua,BRA,Latin America & Caribbean
Apistogramma juruensis,BRA,Latin America & Caribbean
Apistogramma kullanderi,BRA,Latin America & Caribbean
Apistogramma megastoma,BRA,Latin America & Caribbean
Apistogramma meinkeni,BRA,Latin America & Caribbean
Apistogramma mendezi,BRA,Latin America & Caribbean
Apistogramma moae,BRA,Latin America & Caribbean
Apistogramma ortmanni rupununi,BRA,Latin America & Caribbean
Apistogramma paucisquamis,BRA,Latin America & Caribbean
Apistogramma personata,BRA,Latin America & Caribbean
Apistogramma pertense bitaeniata,BRA,Latin America & Caribbean
Apistogramma piauiensis,BRA,Latin America & Caribbean
Apistogramma pulchra,BRA,Latin America & Caribbean
Apistogramma regani,BRA,Latin America & Caribbean
Apistogramma resticulosa,BRA,Latin America & Caribbean
Apistogramma salpinction,BRA,Latin America & Caribbean
Apistogramma staecki,BRA,Latin America & Caribbean
Apistogramma tucurui,BRA,Latin America & Caribbean
Apistogramma uaupesi,BRA,Latin America & Caribbean
Apistogramma wapisana,BRA,Latin America & Caribbean
Apteronotus acidops,BRA,Latin America & Caribbean
Apteronotus albertoi,BRA,Latin America & Caribbean
Apteronotus camposdapazi,BRA,Latin America & Caribbean
Apteronotus caudimaculosus,BRA,Latin America & Caribbean
Apteronotus lindalvae,BRA,Latin America & Caribbean
Apteronotus quilombola,BRA,Latin America & Caribbean
Araichthys loro,BRA,Latin America & Caribbean
Archolaemus blax,BRA,Latin America & Caribbean
Archolaemus ferreirai,BRA,Latin America & Caribbean
Archolaemus janeae,BRA,Latin America & Caribbean
Archolaemus luciae,BRA,Latin America & Caribbean
Archolaemus santosi,BRA,Latin America & Caribbean
Argonectes robertsi,BRA,Latin America & Caribbean
Aristommata inexspectata,BRA,Latin America & Caribbean
Arius grandoculis,BRA,Latin America & Caribbean
Arius longibarbis,BRA,Latin America & Caribbean
Arius oncinus,BRA,Latin America & Caribbean
Asiphonichthys condei,BRA,Latin America & Caribbean
Asiphonichthys hemigrammus,BRA,Latin America & Caribbean
