code_museum,country_museum,region_museum
DHFRI,VNM,East Asia & Pacific
DVZUT,VNM,East Asia & Pacific
HNHU,VNM,East Asia & Pacific
HNUE,VNM,East Asia & Pacific
IEBR,VNM,East Asia & Pacific
MB-HUNE,VNM,East Asia & Pacific
OIM,VNM,East Asia & Pacific
RIAH,VNM,East Asia & Pacific
TDHSP,VNM,East Asia & Pacific
UNS,VNM,East Asia & Pacific
VNMN,VNM,East Asia & Pacific
ZUMH,VNM,East Asia & Pacific
NHCY,YEM,Middle East & North Africa
NMBZ,ZWE,Sub-Saharan Africa
QVMS,ZWE,Sub-Saharan Africa
