grids,species
USA_type,Ammocoetes aepyptera
CAN_type,Lethenteron alaskense
GBR_type,Lampetra bergi
USA_type,Ichthyomyzon castaneus
GBR_type,Eudontomyzon danfordi
CAN_type,Entosphenus folletti
USA_type,Ichthyomyzon fossor
USA_type,Ichthyomyzon gagei
CZE_type,Lampetra (Eudontomyzon) gracilis
CAN_type,Eudontomyzon graecus
USA_type,Ichthyomyzon greeleyi
CAN_type,Eudontomyzon hellenicus
USA_type,Ichthyomyzon hirudo
USA_type,Entosphenus hubbsi
USA_type,Ichthyomyzon hubbsi
CZE_type,Lampetra lanceolata
USA_type,Lampetra (Entosphenus) lethophaga
CAN_type,Lampetra macrostoma
CAN_type,Lethenteron matsubarai
USA_type,Lampetra (Entosphenus) minima
RUS_type,Lethenteron ninae
CAN_type,Lampetra pacifica
DEU_type,Petromyzon planeri
GBR_type,Petromyzon reissneri
CAN_type,Lampetra richardsoni
CAN_type,Entosphenus similis
DEU_type,Lampetra soljani
USA_type,Lampetra spadicea
USA_type,Ichthyomyzon unicuspis
CAN_type,Lampetra zanandreai
AUS_type,Mordacia praecox
MYS_type,Glyphis fowlerae
AUS_type,Zearaja maugeana
THA_type,Himantura chaophraya
SGP_type,Makararaja chindwinensis
AUS_type,Himantura dalyensis
FRA_type,Potamotrygon garouaensis
SGP_type,Himantura kittipongi
FRA_type,Dasybatus (Himanturus) krempfi
IND_type,Urogymnus laevior
GBR_type,Dasyatis laosensis
FRA_type,Trygon (Himantura) oxyrhynchus
NLD_type,Trygon polylepis
IDN_type,Himantura signifer
IDN_type,Pastinachus stellurostris
BRA_type,Potamotrygon adamastor
BRA_type,Trygon aiereba
BRA_type,Potamotrygon albimaculata
BRA_type,Potamotrygon amandae
BRA_type,Potamotrygon amazona
USA_type,Potamotrygon boesemani
GBR_type,Trygon brachyurus
URY_type,Potamotrygon brumi
ARG_type,Potamotrygon castexi
USA_type,Potamotrygon circularis
FRA_type,Taeniura constellata
FRA_type,Trygon (Taenura) dumerilii
ARG_type,Potamotrygon falkneri
BRA_type,Potamotrygon garmani
BRA_type,Heliotrygon gomesi
FRA_type,Trygon (Taenura) henlei
FRA_type,Trygon histrix
USA_type,Potamotrygon humerosus
FRA_type,Trygon hystrix
BRA_type,Plesiotrygon iwamae
BRA_type,Potamotrygon jabuti
ARG_type,Potamotrygon labradori
USA_type,Potamotrygon laticeps
BEL_type,Potamotrygon leopoldi
BRA_type,Potamotrygon limai
FRA_type,Taeniura magdalenae
FRA_type,Potamotrygon marinae
BRA_type,Potamotrygon marquesi
ARG_type,Potamotrygon menchacai
AUT_type,Taeniura motoro
FRA_type,Trygon (Taenura) mulleri
PER_type,Plesiotrygon nana
DEU_type,Trygon hystrix ocellata
FRA_type,Trygon (Taenura) orbignyi
COL_type,Paratrygon orinocensis
BRA_type,Potamotrygon pantanensis
COL_type,Paratrygon parvaspina
ARG_type,Potamotrygon pauckei
GBR_type,Trygon reticulatus
BRA_type,Potamotrygon rex
BRA_type,Heliotrygon rosai
COL_type,Potamotrygon roulini
VEN_type,Potamotrygon schroederi
USA_type,Potamotrygon scobina
USA_type,Potamotrygon signatus
BRA_type,Potamotrygon tatianae
USA_type,Disceus thayeri
PER_type,Potamotrygon tigrina
BRA_type,Potamotrygon wallacei
USA_type,Potamotrygon yepezi
GBR_type,Polypterus ansorgii
FRA_type,Polypterus bichir
NLD_type,Polypterus buettikoferi
GBR_type,Polypterus congicus
BEL_type,Polypterus delhezi
AUT_type,Polypterus endlicherii
BEL_type,Polypterus bichir katangae
AUT_type,Polypterus lapradei
GBR_type,Polypterus lowei
GBR_type,Polypterus ornatipinnis
USA_type,Polypterus palmas
BEL_type,Polypterus polli
FRA_type,Polypterus retropinnis
FRA_type,Polypterus schoutedeni
FRA_type,Polypterus senegalus
USA_type,Polypterus teugelsi
GBR_type,Polypterus weeksii
USA_type,Acipenser (Huso) anasimos
USA_type,Acipenser (Huso) atelaspis
RUS_type,Acipenser stenorrhynchus baicalensis
USA_type,Acipenser (Antaceus) buffalo
USA_type,Acipenser (Antaceus) caryi
USA_type,Acipenser (Antaceus) cincinnati
USA_type,Acipenser (Huso) copei
FRA_type,Acipenser dabryanus
FRA_type,Acipenser (Huso) honneymani
FRA_type,Acipenser (Sterletus) kankreni
RUS_type,Scaphirhynchus kaufmanni
GBR_type,Acipenser kostera
FRA_type,Acipenser (Huso) lamarii
GBR_type,Acipenser liopeltis
FRA_type,Acipenser (Sterletus) lovetzkyi
USA_type,Acipenser maculosus
USA_type,Acipenser (Huso) nertinianus
USA_type,Acipenser (Huso) paranasimos
FRA_type,Acipenser (Huso) platyrhinus
USA_type,Acipenser (Antaceus) putnami
USA_type,Acipenser (Huso) rafinesquii
AUT_type,Scaphirhynchus rafinesquii
USA_type,Acipenser (Huso) rauchii
FRA_type,Acipenser (Huso) richardsonii
FRA_type,Acipenser (Huso) rosarium
RUS_type,Pseudoscaphirhynchus rossikowi
RUS_type,Acipenser stenorrhynchus
USA_type,Scaphirhynchus suttkusi
USA_type,Platirostra edentula
USA_type,Cylindrosteus agassizii
FRA_type,Lepidosteus ayresii
FRA_type,Cylindrosteus bartonii
USA_type,Lepisosteus (Atractosteus) berlandieri
FRA_type,Cylindrosteus castelnaudii
USA_type,Lepidosteus crassus
FRA_type,Lepidosteus harlani
USA_type,Lepidosteus leptorhynchus
FRA_type,Lepidosteus lesueurii
FRA_type,Lepidosteus louisianensis
FRA_type,Atractosteus lucius
USA_type,Cylindrosteus megalops
FRA_type,Lepidosteus milberti
USA_type,Lepidosteus (Cylindrosteus) oculatus
USA_type,Lepidosteus otarius
USA_type,Lepisosteus platostomus
USA_type,Cylindostreus productus
FRA_type,Cylindrosteus rafinesquii
USA_type,Cylindrosteus scabriceps
FRA_type,Lepidosteus smithii
FRA_type,Lepidosteus thompsonii
FRA_type,Lepisosteus treculii
FRA_type,Lepidosteus troostii
USA_type,Atractosteus tropicus
FRA_type,Cylindrosteus zadockii
FRA_type,Amia cinerea
FRA_type,Amia marmorata
FRA_type,Amia ornata
FRA_type,Amia piquotii
FRA_type,Amia reticulata
FRA_type,Amia subcoerulea
FRA_type,Amia thompsonii
AUS_type,Gymnothorax austrinus
USA_type,Allips concolor
NLD_type,Sphagebranchus gjellerupi
IND_type,Pisodonophis kalinga
USA_type,Caecula mindora
BRA_type,Stictorhinus potamius
TWN_type,Lamnostoma taiwanense
PHL_type,Caecula taylori
DNK_type,Anguilla ancestralis
TWN_type,Anguilla huangi
FRA_type,Clupea alosoides
USA_type,Hyodon selenops
USA_type,Hiodon tergisus
GBR_type,Pantodon buchholzi
IDN_type,Scleropages aureus
FRA_type,Ischnosoma bicirrhosum
USA_type,Osteoglossum ferreirai
FRA_type,Osteoglossum guntheri
GBR_type,Osteoglossum jardinii
IDN_type,Scleropages legendrei
GBR_type,Scleropages leichardti
USA_type,Scleropages macrocephalus
FRA_type,Osteoglossum vandellii
FRA_type,Sudis adansonii
GBR_type,Vastres arapaima
FRA_type,Vastres cuvieri
FRA_type,Sudis gigas
FRA_type,Sudis gigas
FRA_type,Vastres mapae
GBR_type,Notopterus afer
FRA_type,Notopterus blanci
GBR_type,Notopterus borneensis
USA_type,Notopterus afer congoensis
GBR_type,Notopterus hypselonotus
FRA_type,Mormyrus abbreviatus
USA_type,Marcusenius adustus
BEL_type,Gnathonemus aelsbroecki
BEL_type,Marcusenius aequipinnis
FRA_type,Paramyomyrus aequipinnis
AUT_type,Petrocephalus affinis
FRA_type,Petrocephalus affinis
DEU_type,Mormyrus agnus
GBR_type,Gnathonemus alces
ZAF_type,Marcusenius altisambesi
GBR_type,Mormyrus amblystoma
GBR_type,Gnathonemus angolensis
GBR_type,Marcusenius ansorgii
GBR_type,Petrocephalus ansorgii
BEL_type,Petrocephalus anterodorsalis
USA_type,Petrocephalus arnegardi
BEL_type,Mormyrus asinus
FRA_type,Stomatorhinus ater
BEL_type,Mormyrops attenuatus
AUT_type,Mormyrops bachrachi
FRA_type,Petrocephalus balayi
FRA_type,Mormyrus bane
AGO_type,Gnathonemus barbatus
GBR_type,Mormyrops batesianus
GBR_type,Marcusenius batesii
FRA_type,Gnathonemus baudoni
GBR_type,Mormyrus bentleyi
FRA_type,Mormyrus bernhardi
BEL_type,Petrocephalus binotatus
USA_type,Petrocephalus boboto
GBR_type,Mormyrops boulengeri
FRA_type,Mormyrus bovei
FRA_type,Mormyrops bozasi
USA_type,Marcusenius brachyistius
BEL_type,Gnathonemus bredoi
FRA_type,Gnathonemus brevicaudatus
NLD_type,Mormyrops breviceps
SWE_type,Petrocephalus brevipedunculatus
GBR_type,Marcusenius brevis
GBR_type,Gnathonemus brucii
FRA_type,Gnathonemus bruyerei
GBR_type,Marcusenius budgetti
GBR_type,Mormyrus bumbanus
FRA_type,Mormyrops caballus
BEL_type,Mormyrus caballus
ITA_type,Mormyrus casalis
AGO_type,Gnathonemus cassaicus
GBR_type,Marcusenius castelnaui
GBR_type,Hippopotamyrus castor
ZAF_type,Marcusenius caudisquamatus
GBR_type,Gnathonemus christyi
BEL_type,Petrocephalus christyi
ITA_type,Mormyrops citernii
FRA_type,Petrocephalus bane comoensis
BEL_type,Gnathonemus compressirostris
BEL_type,Petrocephalus stuhlmanni congicus
BEL_type,Marcusenius conicephalus
BEL_type,Stomatorhinus corneti
BEL_type,Gnathonemus cuangoanus
CHE_type,Marcusenius cubangoensis
GBR_type,Petrocephalus cunganus
GBR_type,Mormyrops curtus
BEL_type,Brienomyrus curvifrons
FRA_type,Mormyrus curvifrons
BEL_type,Gnathonemus curvirostris
USA_type,Mormyrus cyaneus
DEU_type,Marcusenius desertus
ZAF_type,Marcusenius devosi
DEU_type,Mormyrus discorhynchus
GBR_type,Genyomyrus donnyi
FRA_type,Mormyrus dorsalis
AGO_type,Gnathonemus dundoensis
FRA_type,Pollimyrus kingsleyae eburneensis
FRA_type,Gnathonemus echidnorhynchus
FRA_type,Mormyrus ehrenbergii
DEU_type,Marcusenius elegans
GBR_type,Gnathonemus elephas
FRA_type,Mormyrus ellenbergeri
DNK_type,Gnathonemus elongatus
GBR_type,Mormyrops elongatus
GBR_type,Mormyrus elongatus
GBR_type,Mormyrops engystoma
BEL_type,Marcusenius fasciaticeps
FRA_type,Mormyrus felixi
FRA_type,Gnathonemus friteli
BEL_type,Stomatorhinus fuliginosus
FRA_type,Gnathonemus furcidens
FRA_type,Mormyrops furcidens
FRA_type,Gnathonemus fuscus
BEL_type,Paramormyrops gabonensis
FRA_type,Marcusenius gaillardi
SWE_type,Gnathonemus gambiensis
GBR_type,Mormyrus geoffroyi
BEL_type,Gnathonemus ghesquierei
GBR_type,Gnathonemus gilli
ITA_type,Mormyrus gliroides
USA_type,Mormyrus goheeni
DEU_type,Marcusenius gracilis
AUT_type,Gnathonemus graeverti
GBR_type,Petrocephalus grandoculis
GBR_type,Mormyrus greshoffii
USA_type,Petrocephalus guttatus
FRA_type,Mormyrus hasselquistii
USA_type,Petrocephalus haullevillii
USA_type,Isichthys henryi
USA_type,Gnathonemus histrio
BEL_type,Brienomyrus hopkinsi
GBR_type,Stomatorhinus humilior
BEL_type,Marcusenius hutereaui
GBR_type,Gnathonemus ibis
BEL_type,Marcusenius intermedius
ITA_type,Mormyrops intermedius
USA_type,Mormyrus iriodes
FRA_type,Mormyrus isidori
USA_type,Stomatorhinus ivindoensis
AGO_type,Marcusenius jacksoni
GBR_type,Mormyrus jae
FRA_type,Mormyrus joannisii
FRA_type,Mormyrus jubelini
BEL_type,Marcusenius kaninginii
BEL_type,Marcusenius stappersi kapangae
GBR_type,Petrocephalus keatingii
BEL_type,Boulengeromyrus knoepffleri
ZAF_type,Marcusenius krameri
BEL_type,Stomatorhinus kununguensis
BEL_type,Gnathonemus kutuensis
FRA_type,Mormyrus labiatus
FRA_type,Gnathonemus lambouri
USA_type,Petrocephalus leo
GBR_type,Gnathonemus leopoldianus
GBR_type,Mormyrus lepturus
FRA_type,Petrocephalus levequei
AUT_type,Mormyrus lhuysi
GBR_type,Mormyrus liberiensis
BEL_type,Mormyrops lineolatus
GBR_type,Gnathonemus livingstonii
ZAF_type,Petrocephalus longianalis
ZAF_type,Petrocephalus longicapitis
BEL_type,Brienomyrus longicaudatus
GBR_type,Mormyrops longiceps
GBR_type,Mormyrus longipinnis
DEU_type,Mormyrus longirostris
BEL_type,Gnathonemus moorii longulus
BEL_type,Gnathonemus rhynchophorus lualabaensis
BEL_type,Gnathonemus rhynchophorus luapulaensis
ZAF_type,Marcusenius lucombesi
BEL_type,Cyphomyrus lufirae
GBR_type,Mormyrus macrocephalus
GBR_type,Myomyrus macrodon
DEU_type,Mormyrus macrolepidotus
BEL_type,Gnathonemus macrophthalmus
GBR_type,Marcusenius macrops
GBR_type,Myomyrus macrops
GBR_type,Marcusenius macroterops
USA_type,Marcusenius maculipinnis
ZAF_type,Petrocephalus magnitrunci
ZAF_type,Petrocephalus magnoculis
FRA_type,Petrocephalus marchei
GBR_type,Mormyrus (Mormyrops) mariae
BEL_type,Mormyrops masuianus
USA_type,Petrocephalus mbossou
GBR_type,Mormyrus mento
FRA_type,Marcusenius meronai
GBR_type,Mormyrus microcephalus
FRA_type,Petrocephalus microphthalmus
GBR_type,Stomatorhinus microps
BEL_type,Mormyrops microstoma
BEL_type,Gnathonemus mirus
BEL_type,Gnathonemus moeruensis
GBR_type,Mormyrus monteiri
BEL_type,Mormyrus moorii
DEU_type,Mormyrus mucupe
ZAF_type,Marcusenius multisquamatus
GBR_type,Mormyrus niger
BEL_type,Mormyrops nigricans
GBR_type,Marcusenius nigripinnis
FRA_type,Gnathonemus ntemensis
USA_type,Paramormyrops ntotom
GBR_type,Gnathonemus numenius
USA_type,Petrocephalus odzalaensis
USA_type,Cryptomyrus ogoouensis
ZAF_type,Petrocephalus okavangensis
FRA_type,Cryptomyrus ona
BEL_type,Ivindomyrus opdenboschi
BEL_type,Campylomormyrus orycteropus
USA_type,Marcusenius osborni
FRA_type,Mormyrops oudoti
BEL_type,Mormyrus ovis
FRA_type,Mormyrus oxyrhynchus
FRA_type,Petrocephalus pallidomaculatus
USA_type,Marcusenius pappenheimi
GBR_type,Mormyrops parvus
ITA_type,Stomatorhinus patrizii
AUT_type,Mormyrus pauciradiatus
BEL_type,Marcusenius paucisquamatus
FRA_type,Hippopotamyrus paugyi
BEL_type,Marcusenius pedunculatus
BEL_type,Petrocephalus pellegrini
GBR_type,Mormyrus petersii
FRA_type,Marcusenius petricolus
DNK_type,Gnathonemus pfaffi
FRA_type,Gnathonemus phantasticus
BEL_type,Myomyrus pharao
AUT_type,Petrocephalus pictus
GBR_type,Marcusenius plagiostoma
BEL_type,Stomatorhinus polli
GBR_type,Stomatorhinus polylepis
USA_type,Gnathonemus pongolensis
BEL_type,Mormyrus proboscirostris
GBR_type,Mormyrus psittacus
GBR_type,Marcusenius pulverulentus
GBR_type,Stomatorhinus puncticulatus
USA_type,Marcusenius retrodorsalis
ZWE_type,Gnathonemus rhodesianus
GBR_type,Gnathonemus rhynchophorus
SWE_type,Marcusenius rudebeckii
FRA_type,Mormyrus rume
BEL_type,Marcusenius sanagaensis
GBR_type,Mormyrus (Petrocephalus) sauvagii
GBR_type,Gnathonemus schilthuisiae
BEL_type,Petrocephalus schoutedeni
BEL_type,Stomatorhinus schoutedeni
BEL_type,Pollimyrus schreyeni
AUT_type,Mormyrus senegalensis
FRA_type,Petrocephalus simus
BEL_type,Mormyrops sirenoides
FRA_type,Petrocephalus soudanensis
FRA_type,Mormyrops sphekodes
GBR_type,Mormyrus stanleyanus
AUT_type,Petrocephalus steindachneri
GBR_type,Petrocephalus stuhlmanni
FRA_type,Mormyrus subundulatus
FRA_type,Petrocephalus sullivani
GBR_type,Mormyrus (Mormyrops) swanenburgi
ZAF_type,Hippopotamyrus szaboi
GBR_type,Petrocephalus catostoma tanensis
GBR_type,Mormyrus tapirus
BEL_type,Brienomyrus tavernei
FRA_type,Petrocephalus bane tchadensis
FRA_type,Hyperopisus tenuicauda
GBR_type,Mormyrus tenuicauda
GBR_type,Gnathonemus thomasi
FRA_type,Mormyrus thomasi
BEL_type,Gnathonemus tshokwe
BEL_type,Marcusenius tumifrons
GBR_type,Mormyrus ussheri
FRA_type,Mormyrops vaillanti
USA_type,Petrocephalus valentini
USA_type,Petrocephalus vanderbilti
BEL_type,Marcusenius verheyenorum
GBR_type,Mormyrus walkeri
BEL_type,Marcusenius wamuinii
GBR_type,Marcusenius weeksii
GBR_type,Marcusenius wilverthi
DEU_type,Mormyrus zambanenje
GBR_type,Mormyrus zanclirostris
DNK_type,Denticeps clupeoides
USA_type,Amplova alleni
USA_type,Lycengraulis barbouri
GBR_type,Engraulis batesii
USA_type,Anchoviella belizensis
AUT_type,Coilia brachygnathus
USA_type,Anchoviella carrikeri
FRA_type,Stolephorus cayennensis
BRA_type,Lycengraulis figueiredoi
USA_type,Stolephorus guianensis
PER_type,Anchoviella hernanni
PER_type,Engraulis iquitensis
USA_type,Amplova jamesi
BRA_type,Anchoviella juruasanga
GBR_type,Cetengraulis juruensis
GBR_type,Thryssa (Scutengraulis) kammalensoides
GBR_type,Coilia lindmani
VEN_type,Anchoviella manamensis
USA_type,Anchovia pallida
VEN_type,Anchoviella perezi
USA_type,Anchoviella potiana
USA_type,Thryssa rastrosa
BRA_type,Anchoviella sanfranciscana
USA_type,Amazonsprattus scintilla
AUS_type,Engraulis scratchleyi
CHN_type,Anchoviella shantungensis
NLD_type,Stolephorus surinamensis
AUT_type,Engraulis vaillanti
USA_type,Anchoviella venezuelae
USA_type,Anchoviella victoriae
GBR_type,Setipinna wheeleri
ARG_type,Clupea melanostoma limnoica
BRA_type,Pseudochirocentrodon amazonicum
USA_type,Ilisha apapae
FRA_type,Pellona castelnaeana
FRA_type,Pristigaster cayanus
PER_type,Ilisha deauratus
BRA_type,Neosteus mayrinki
FRA_type,Pellona novacula
FRA_type,Pristigaster phaeton
IND_type,Pellona sladeni
BRA_type,Pristigaster whiteheadi
RUS_type,Harengula abrau
THA_type,Clupeichthys aesarnensis
ZAF_type,Spratelloides aestuarius
FRA_type,Sauvagella madagascariensis bianalis
IND_type,Corica biharensis
FRA_type,Sauvagella madagascariensis brevidorsalis
SGP_type,Minyclupeoides dentibranchialus
USA_type,Clupeoides exilis
GBR_type,Ehirava fluviatilis
USA_type,Corica laciniata
FRA_type,Sauvagella madagascariensis longianalis
FRA_type,Spratelloides madagascariensis
IND_type,Spratelloides malabaricus
IDN_type,Sundasalanx malleti
IDN_type,Sundasalanx megalops
SGP_type,Sundasalanx mekongensis
IDN_type,Sundasalanx mesops
AUS_type,Corica papuensis
USA_type,Corica perakensis
IDN_type,Sundasalanx platyrhynchus
USA_type,Sundasalanx praecox
NLD_type,Spratella pseudopterus
USA_type,Sauvagella robusta
RUS_type,Clupea cultriventris tscharchalensis
NLD_type,Clupeoides venulosus
CHE_type,Cyprinus agone
RUS_type,Clupea (Alosa) curensis
GBR_type,Alosa finta gracilis
RUS_type,Clupea caspiopontica grimmi
GBR_type,Alosa finta killarnensis
CHE_type,Alosa finta lacustris
RUS_type,Clupeonella leucocephala
USA_type,Alosa musica
RUS_type,Caspialosa brashnikovi sarensis
RUS_type,Clupeonella sphaerocephala
GRC_type,Alosa caspia vistonica
GBR_type,Pellonula acutirostris
GBR_type,Pellonula afzeliusi
AUT_type,Clupea amazonica
USA_type,Dorosoma anale
USA_type,Odaxothrissa ansorgii
AUT_type,Pellonula bahiensis
AUS_type,Fluvialosa bulleri
BEL_type,Poecilothrissa centralis
IND_type,Clupanodon chapra
USA_type,Dorosoma chavesi
GBR_type,Poecilothrissa congica
GBR_type,Laeviscutella dekimpei
AUS_type,Chatoessus elongatus
GBR_type,Chatoessus erebi
SWE_type,Microthrissa eupleura
GBR_type,Nematalosa flyensis
IND_type,Gudusia godanahiai
BEL_type,Congothrissa gossei
GBR_type,Chatoessus horni
USA_type,Stolothrissa lembesseensis
BEL_type,Sierrathrissa leonensis
GBR_type,Odaxothrissa losera
GBR_type,Cynothrissa mento
BEL_type,Microthrissa minuta
FRA_type,Microthrissa miri
IND_type,Chatoessus modestus
BEL_type,Poecilothrissa moeruensis
USA_type,Thrattidion noctivagus
GBR_type,Microthrissa normani
GBR_type,Pellonula obtusirostris
AUS_type,Fluvialosa papuensis
AUS_type,Fluvialosa paracome
GBR_type,Microthrissa parva
BRA_type,Sardinella pernambucana
BRA_type,Sardinella piquitinga
GBR_type,Microthrissa royauxi
USA_type,Rhinosardinia serrata
USA_type,Dorosoma smithi
BEL_type,Microthrissa (Potamothrissa) stappersii
BEL_type,Nannothrissa stewarti
IND_type,Clupea suhia
PHL_type,Harengula tawilis
USA_type,Pellonula tenuis
IND_type,Clupea variegata
GBR_type,Gonialosa whiteheadi
BEL_type,Microthrissa whiteheadi
BEL_type,Potamothrissa whiteheadi
BEL_type,Parakneria alytogrammus
AUT_type,Kneria angolensis
GBR_type,Xenopomichthys ansorgii
FRA_type,Xenopomichthys auriculatus
BEL_type,Parakneria damasi
FRA_type,Grasseichthys gabonensis
BEL_type,Kneria katangae
BEL_type,Parakneria kissi
AGO_type,Parakneria ladigesi
BEL_type,Kneria luansaensis
BEL_type,Parakneria lufirae
BEL_type,Parakneria malaissei
GBR_type,Kneria marmorata
BEL_type,Kneria maxi
DEU_type,Kneria maydelli
ZWE_type,Parakneria mossambica
GBR_type,Cromeria nilotica
CAN_type,Kneria paucisquamata
DEU_type,Kneria ruaha
DEU_type,Kneria rukwaensis
SWE_type,Kneria sjolandersi
GBR_type,Kneria spekii
GBR_type,Kneria stappersii
GBR_type,Parakneria tanzaniae
BEL_type,Parakneria thysi
DEU_type,Kneria uluguru
BEL_type,Parakneria vilhenae
BEL_type,Kneria wittei
USA_type,Phractolaemus spinosus carpenteri
FRA_type,Psilorhynchus aymonieri
RUS_type,Gyrinocheilus monchadskii
USA_type,Gyrinocheilops pennocki
GBR_type,Gyrinocheilus pustulosus
USA_type,Ptychostomus albidus
USA_type,Catostomus alticolus
USA_type,Bubalichthys altus
USA_type,Catostomus araeopus
USA_type,Catostomus ardens
USA_type,Catostomus arenarius
USA_type,Pantosteus arizonae
FRA_type,Carpiodes asiaticus
USA_type,Moxostoma (Thoburnia) atripinne
USA_type,Catostomus aurora
USA_type,Myxostoma austrinum
USA_type,Catostomus bernardini
USA_type,Carpiodes bison
USA_type,Bubalichthys bonasus
FRA_type,Catostomus bostoniensis
USA_type,Ptychostomus breviceps
USA_type,Chasmistes brevirostris
USA_type,Ptychostomus bucco
USA_type,Catostomus cahita
FRA_type,Moxostoma campbelli
USA_type,Placopharynx carinatus
GBR_type,Cyprinus catostomus
USA_type,Chasmistes chamberlaini
GBR_type,Sclerognathus chinensis
USA_type,Catostomus chloropteron
USA_type,Catostomus clarkii
USA_type,Moxostoma claviformis
USA_type,Ptychostomus collapsus
USA_type,Pantosteus columbianus
FRA_type,Catostomus communis
USA_type,Catostomus conchos
USA_type,Catostomus congestus
USA_type,Chasmistes copei
USA_type,Ptychostomus crassilabris
USA_type,Chasmistes cujus
USA_type,Carpiodes cutisanserinus
USA_type,Quassilabia cypho
FRA_type,Sclerognathus cyprinella
USA_type,Carpiodes damalis
USA_type,Carpiodes difformis
USA_type,Carpiodes elongatus
USA_type,Catostomus elongatus
FRA_type,Catostomus fasciatus
USA_type,Catostomus fecundus
USA_type,Catostomus fumeiventris
USA_type,Catostomus (Acomus) generosus
USA_type,Catostomus gila
USA_type,Erimyzon goodei
USA_type,Catostomus (Acomus) griseus
USA_type,Catostomus (Acomus) guzmaniensis
USA_type,Ptychostomus haydeni
USA_type,Carpiodes cyprinus hinei
USA_type,Catostomus columbianus hubbsi
USA_type,Moxostoma hubbsi
GBR_type,Catostomus hudsonius
USA_type,Catostomus humboldtianus
USA_type,Notolepidomyzon intermedius
USA_type,Moxostoma kennerlii
USA_type,Catostomus labiatus
USA_type,Carpiodes labiosus
USA_type,Moxostoma lachneri
USA_type,Catostomus (Acomus) lactarius
USA_type,Catostomus occidentalis lacusanserinus
USA_type,Catostomus catostomus lacustris
USA_type,Pantosteus lahontan
USA_type,Catostomus latipinnis
USA_type,Catostomus leopoldi
USA_type,Chasmistes liorus
USA_type,Chasmistes luxatus
USA_type,Catostomus macrocheilus
USA_type,Exoglossum macropterum
GBR_type,Moxostoma mascotae
USA_type,Cycleptus meridionalis
GBR_type,Sclerognathus meridionalis
USA_type,Catostomus microps
USA_type,Carpiodes microstomus
USA_type,Chasmistes liorus mictus
USA_type,Moxostoma austrinum milleri
USA_type,Catostomus mniotiltus
USA_type,Chasmistes muriei
FRA_type,Myxocyprinus asiaticus nankinensis
USA_type,Catostomus nebuliferus
USA_type,Carpiodes nummifer
USA_type,Catostomus occidentalis
USA_type,Catostomus syncheilus palouseanus
GBR_type,Moxostoma parvidens
USA_type,Ptychostomus pidiensis
USA_type,Moxostoma aureolum pisolabrum
FRA_type,Catostomus planiceps
USA_type,Minomus platyrhynchus
USA_type,Catostomus pocatello
USA_type,Myxostoma poecilura
USA_type,Ichthyobus rauchii
USA_type,Catostomus retropinnis
USA_type,Catostomus rex
USA_type,Catostomus rimiculus
USA_type,Moxostoma rubreques
USA_type,Moxostoma rupiscartes
USA_type,Pantosteus santaanae
USA_type,Carpiodes selene
USA_type,Catostomus snyderi
USA_type,Catostomus sonorensis
USA_type,Ichthyobus stolleyi
USA_type,Chasmistes stomias
USA_type,Catostomus sucklii
USA_type,Catostomus syncheilus
GBR_type,Catostomus tahoensis
USA_type,Carpiodes taurus
USA_type,Moxostoma tenue
USA_type,Catostomus texanus
USA_type,Carpiodes thompsoni
USA_type,Moxostoma trisignatum
USA_type,Catostomus tsiltcoosensis
USA_type,Carpiodes tumidus
USA_type,Carpiodes urus
USA_type,Notolepidomyzon utahensis
USA_type,Catostomus utawana
USA_type,Carpiodes vacca
USA_type,Ptychostomus velatus
USA_type,Moxostoma victoriae
USA_type,Pantosteus virescens
USA_type,Carpiodes vitulus
USA_type,Catostomus warnerensis
USA_type,Catostomus wigginsi
GBR_type,Botia almorhae
ROU_type,Leptobotia banarescui
USA_type,Botia beauforti
CHN_type,Leptobotia bellacauda
AUS_type,Syncrossus berdmorei
IND_type,Botia birdi
GBR_type,Botia blythi
CHN_type,Leptobotia brachycephala
JPN_type,Botia caudipunctata
USA_type,Botia citrauratea
USA_type,Botia compressicauda
NLD_type,Cobitis curta
IND_type,Botia dayi
VNM_type,Parabotia dubia
VNM_type,Botia elongata
FRA_type,Botia elongata
JPN_type,Botia eos
FRA_type,Botia fangi
FRA_type,Parabotia fasciatus
CHN_type,Leptobotia flavolineata
FRA_type,Botia beauforti formosa
VNM_type,Botia gigantea
GBR_type,Botia grandis
FRA_type,Botia helodes
CHN_type,Leptobotia hengyangensis
VNM_type,Botia hexafurca
IND_type,Botia histrionica
CHN_type,Leptobotia hopeiensis
USA_type,Botia horae
NLD_type,Cobitis hymenophysa
PAK_type,Botia javedi
USA_type,Botia (Hymenophysa) kwangsiensis
CHN_type,Sinibotia lani
USA_type,Botia lecontei
IND_type,Botia lohachata
JPN_type,Botia longidorsalis
CHN_type,Botia (Sinibotia) longiventralis
USA_type,Botia lucasbahi
NLD_type,Hymenophysa macclellandi
NLD_type,Cobitis macracanthus
BEL_type,Botia macrolineata
GBR_type,Schistura maculata
RUS_type,Leptobotia mantschurica
FRA_type,Botia modesta
CHE_type,Botia multifasciata
CHN_type,Botia (Hymenophysa) nigrolineata
CHN_type,Leptobotia paucipinna
CHN_type,Leptobotia pellegrini
CHN_type,Leptobotia posterodorsalis
GBR_type,Botia pratti
CHN_type,Leptobotia punctatus
USA_type,Botia purpurea
IDN_type,Botia reversa
GBR_type,Botia rostrata
CHN_type,Leptobotia rotundilobus
FRA_type,Parabotia rubrilabris
